nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg
4,Hardware,Hardware,brisbane,torino,1,1,0.007685436048889448
4,Hardware,Hardware,brisbane,torino,2,2,-0.026334011367018108
4,Hardware,Hardware,brisbane,torino,3,3,-0.04365857027536274
4,Refreshed_Hardware,Refreshed_Hardware,brisbane,torino,1,1,-0.06510261898569253
4,Refreshed_Hardware,Refreshed_Hardware,brisbane,torino,2,2,-0.012305536285830173
4,Refreshed_Hardware,Refreshed_Hardware,brisbane,torino,3,3,-0.00423425263880824
4,Simulated,Simulated,brisbane,torino,1,1,-0.020514153390303637
4,Simulated,Simulated,brisbane,torino,2,2,0.06421351073526413
4,Simulated,Simulated,brisbane,torino,3,3,-0.02133784413566377
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,1,1,0.05519607704841495
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,2,2,-0.03058118249474563
4,Refreshed_Simulated,Refreshed_Simulated,brisbane,torino,3,3,-0.012690017503472933
