nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg
8,Hardware,Refreshed_Hardware,brisbane,brisbane,1,1,0.07443012343183507
8,Hardware,Refreshed_Hardware,torino,torino,1,1,-0.024953335910675653
8,Hardware,Refreshed_Hardware,brisbane,brisbane,2,2,0.07792218202883988
8,Hardware,Refreshed_Hardware,torino,torino,2,2,-0.04723448446081567
8,Hardware,Refreshed_Hardware,brisbane,brisbane,3,3,0.033503736441127314
8,Hardware,Refreshed_Hardware,torino,torino,3,3,-0.015646097508258097
8,Hardware,Simulated,brisbane,brisbane,1,1,-0.027221425558319804
8,Hardware,Simulated,torino,torino,1,1,0.11026192208816937
8,Hardware,Simulated,brisbane,brisbane,2,2,-0.059183816655299794
8,Hardware,Simulated,torino,torino,2,2,0.030098789378143795
8,Hardware,Simulated,brisbane,brisbane,3,3,0.0789450143511267
8,Hardware,Simulated,torino,torino,3,3,-0.020685123115849073
8,Hardware,Refreshed_Simulated,brisbane,brisbane,1,1,-0.014579204630785728
8,Hardware,Refreshed_Simulated,torino,torino,1,1,0.1612225092461005
8,Hardware,Refreshed_Simulated,brisbane,brisbane,2,2,-0.01733196038367331
8,Hardware,Refreshed_Simulated,torino,torino,2,2,0.06771597479559224
8,Hardware,Refreshed_Simulated,brisbane,brisbane,3,3,0.08537622485507104
8,Hardware,Refreshed_Simulated,torino,torino,3,3,-0.10652331426475718
8,Refreshed_Hardware,Simulated,brisbane,brisbane,1,1,-0.009009148226094369
8,Refreshed_Hardware,Simulated,torino,torino,1,1,0.025309088355872516
8,Refreshed_Hardware,Simulated,brisbane,brisbane,2,2,0.0014517294835028015
8,Refreshed_Hardware,Simulated,torino,torino,2,2,-0.004368842183896353
8,Refreshed_Hardware,Simulated,brisbane,brisbane,3,3,0.035487053804833725
8,Refreshed_Hardware,Simulated,torino,torino,3,3,-0.060036210579814286
8,Refreshed_Hardware,Refreshed_Simulated,brisbane,brisbane,1,1,-0.026288876833057553
8,Refreshed_Hardware,Refreshed_Simulated,torino,torino,1,1,-0.0067428809910516545
8,Refreshed_Hardware,Refreshed_Simulated,brisbane,brisbane,2,2,-0.026028419371374702
8,Refreshed_Hardware,Refreshed_Simulated,torino,torino,2,2,0.011730365496530006
8,Refreshed_Hardware,Refreshed_Simulated,brisbane,brisbane,3,3,-0.05836006728466455
8,Refreshed_Hardware,Refreshed_Simulated,torino,torino,3,3,-0.15413585254002504
8,Simulated,Refreshed_Simulated,brisbane,brisbane,1,1,-0.01794575146289503
8,Simulated,Refreshed_Simulated,torino,torino,1,1,0.03215535489255426
8,Simulated,Refreshed_Simulated,brisbane,brisbane,2,2,-0.07677021082270787
8,Simulated,Refreshed_Simulated,torino,torino,2,2,0.0030136890626383758
8,Simulated,Refreshed_Simulated,brisbane,brisbane,3,3,-0.06263652435568107
8,Simulated,Refreshed_Simulated,torino,torino,3,3,-0.020408492040090473
