nr_qubits,exp_type 1,exp_type 2,backend 1,backend 2,circuit 1,circuit 2,corr avg,cosine d,manhatt d,mse,euclidean d
8,Hardware,Hardware,brisbane,torino,1,1,0.9700592960358114,0.02952200782409986,0.769529803056668,0.09129843978848999,0.24298974391566122
8,Hardware,Hardware,brisbane,fez,1,1,0.9729187595141476,0.02671015978805169,0.6911212891222684,0.05291189428581702,0.23112836168696857
8,Hardware,Hardware,brisbane,marrakesh,1,1,0.9726134383482975,0.026999089864657932,0.8693559656794783,0.4456913561224286,0.23237508414052652
8,Hardware,Hardware,torino,fez,1,1,0.9795605420078592,0.02016085041364346,0.6046703173510639,0.09580053227955133,0.2008026414848322
8,Hardware,Hardware,torino,marrakesh,1,1,0.9727752101137571,0.026847457478634817,0.7029612741996963,0.33771698348523493,0.23172163247584493
8,Hardware,Hardware,fez,marrakesh,1,1,0.9862187632753552,0.013593418674498037,0.5894093141949116,0.4176451073520775,0.16488431504845152
8,Hardware,Hardware,brisbane,torino,2,2,0.9695514917820405,0.030022393291585625,0.7913583994259111,0.09218400697100687,0.24504037745475998
8,Hardware,Hardware,brisbane,fez,2,2,0.9736038547226793,0.02603284978054643,0.6716931988334995,0.05233318703597183,0.22817909536390973
8,Hardware,Hardware,brisbane,marrakesh,2,2,0.9744195622236629,0.025217713774125072,0.8527541296283792,0.4534655393310176,0.2245783327666557
8,Hardware,Hardware,torino,fez,2,2,0.9798162194520771,0.01990775929313282,0.6097344644197575,0.08632483078744772,0.1995382634640899
8,Hardware,Hardware,torino,marrakesh,2,2,0.976274598439278,0.023396179430718034,0.6557524325558811,0.34431918205649664,0.21631541521915837
8,Hardware,Hardware,fez,marrakesh,2,2,0.9874151780928949,0.012412646514200931,0.5905073812307023,0.41870374852373354,0.15756044246066941
8,Hardware,Hardware,brisbane,torino,3,3,0.9683803484129249,0.031168970969359222,0.8403799902445345,0.09645921073019918,0.2496756735020823
8,Hardware,Hardware,brisbane,fez,3,3,0.9230921337407118,0.07583049016749854,1.213220880704724,0.27446274571483387,0.3894367475405927
8,Hardware,Hardware,brisbane,marrakesh,3,3,0.9569176624962702,0.04246726276309587,0.9030574378490579,0.1629908501902678,0.2914352853142383
8,Hardware,Hardware,torino,fez,3,3,0.9585648139177988,0.040854259560314854,0.8405921043219559,0.545434064836644,0.28584702048583793
8,Hardware,Hardware,torino,marrakesh,3,3,0.9862937751760873,0.01350996319205966,0.4158708809383578,0.04192859506942713,0.1643773901244399
8,Hardware,Hardware,fez,marrakesh,3,3,0.9896081850973257,0.010247718734169298,0.574581244709035,0.23528889255140123,0.14316227669445755
8,Simulated,Simulated,brisbane,torino,1,1,0.973825801523491,0.025821227898448318,0.6335292644913457,0.3093150354758614,0.22724976522957363
8,Simulated,Simulated,brisbane,fez,1,1,0.9293304402276074,0.0697491234513623,0.9409130535014524,0.8438309627071208,0.3734946410629262
8,Simulated,Simulated,brisbane,marrakesh,1,1,0.9509976808388211,0.04834501143943171,0.744303202839191,0.6441011861729482,0.3109501935662096
8,Simulated,Simulated,torino,fez,1,1,0.9497134207144112,0.049640888734421074,0.746757668328751,0.6763037139167205,0.3150901100778025
8,Simulated,Simulated,torino,marrakesh,1,1,0.95897729219829,0.04048119061848954,0.6626756115772366,0.337739690992367,0.2845388923099589
8,Simulated,Simulated,fez,marrakesh,1,1,0.9560988599522751,0.043340042435405346,0.63532937966058,2.126816379038317,0.29441481768214406
8,Simulated,Simulated,brisbane,torino,2,2,0.9360799156698111,0.06311919621463058,0.887449878282119,0.1475407128887286,0.35530042559679115
8,Simulated,Simulated,brisbane,fez,2,2,0.950233942258193,0.04911077231816008,0.9463411762315365,0.8376928085567328,0.3134031662831746
8,Simulated,Simulated,brisbane,marrakesh,2,2,0.9652072650218185,0.034329007833060365,0.7363978144157478,0.5537860737149716,0.26202674608925
8,Simulated,Simulated,torino,fez,2,2,0.9590637961736398,0.04042962014249063,0.6550277867059877,0.8498362136232218,0.28435759227596
