column,max,min,range,mean,standard deviation,variance
0000,658.0,438.0,220.0,504.5,46.55970492227136,2167.8061224489797
0001,342.0,147.0,195.0,208.14,45.2088170919915,2043.837142857143
0010,63.0,32.0,31.0,49.12,7.178880590357542,51.53632653061224
0011,82.0,40.0,42.0,59.74,8.518431397234338,72.56367346938775
0100,43.0,20.0,23.0,32.76,5.9678047787734325,35.61469387755102
0101,8.0,0.0,8.0,3.56,1.9604247769609648,3.843265306122449
0110,8.0,0.0,8.0,2.6,1.9378085666072196,3.755102040816327
0111,37.0,11.0,26.0,20.68,5.9365350988259,35.242448979591835
1000,136.0,87.0,49.0,110.64,10.572895651096704,111.7861224489796
1001,16.0,0.0,16.0,6.48,3.660266523138467,13.39755102040816
1010,4.0,0.0,4.0,1.72,1.2623269733928297,1.593469387755102
1011,5.0,0.0,5.0,1.98,1.2534035296596482,1.5710204081632648
1100,4.0,0.0,4.0,1.6,1.212183053462653,1.469387755102041
1101,2.0,0.0,2.0,0.32,0.5126959555693246,0.26285714285714284
1110,2.0,0.0,2.0,0.48,0.7351245903010633,0.5404081632653062
1111,11.0,0.0,11.0,4.68,2.325019201149592,5.405714285714286
