column,max,min,range,mean,standard deviation,variance
0000,622.0,501.0,121.0,550.54,28.06131042658455,787.4371428571428
0001,139.0,83.0,56.0,113.3,11.487792988868751,131.96938775510202
0010,177.0,101.0,76.0,135.86,13.133552607030312,172.4902040816327
0011,33.0,15.0,18.0,23.44,4.2434102573572705,18.006530612244898
0100,110.0,46.0,64.0,77.22,13.56509626706327,184.01183673469387
0101,42.0,14.0,28.0,24.44,5.1236147953791935,26.251428571428576
0110,10.0,0.0,10.0,5.16,2.324316884504313,5.402448979591836
0111,8.0,0.0,8.0,4.22,1.8437982093316758,3.399591836734694
1000,94.0,50.0,44.0,71.94,9.105750593858312,82.91469387755102
1001,81.0,43.0,38.0,60.48,9.59004585973585,91.96897959183673
1010,14.0,0.0,14.0,4.92,2.6637398904700946,7.095510204081632
1011,10.0,1.0,9.0,4.96,1.947892634178207,3.7942857142857145
1100,22.0,3.0,19.0,9.34,3.508648207628967,12.31061224489796
1101,16.0,3.0,13.0,8.94,2.9305568183036685,8.588163265306122
1110,8.0,0.0,8.0,3.06,1.719159737802637,2.955510204081632
1111,9.0,1.0,8.0,3.26,1.7239016023816083,2.971836734693877
