column,max,min,range,mean,standard deviation,variance
00000000,1844.0,1163.0,681.0,1394.44,168.43495201775815,28370.333061224486
00000001,482.0,116.0,366.0,203.88,99.05814412943212,9812.515918367348
00000010,67.0,24.0,43.0,47.88,8.596724577965015,73.90367346938775
00000011,50.0,11.0,39.0,34.2,6.821335077893327,46.53061224489796
00000100,144.0,19.0,125.0,44.08,29.653674446234575,879.3404081632654
00000101,19.0,0.0,19.0,6.44,4.616562905585116,21.312653061224488
00000110,8.0,0.0,8.0,2.24,1.790678813256274,3.206530612244898
00000111,66.0,19.0,47.0,39.62,12.43085364924628,154.52612244897958
00001000,90.0,39.0,51.0,58.76,10.651358062304945,113.45142857142856
00001001,26.0,1.0,25.0,5.46,5.3840656817414585,28.98816326530612
00001010,7.0,0.0,7.0,1.48,1.3885831863111848,1.9281632653061225
00001011,12.0,1.0,11.0,4.6,2.5071326821120348,6.285714285714286
00001100,7.0,0.0,7.0,2.84,1.742154425077274,3.035102040816327
00001101,12.0,0.0,12.0,3.1,2.261027398763488,5.112244897959185
00001110,3.0,0.0,3.0,1.18,0.9189612592043082,0.8444897959183676
00001111,68.0,24.0,44.0,42.98,9.740489867411336,94.87714285714289
00010000,131.0,61.0,70.0,92.7,14.596966416739768,213.0714285714286
00010001,23.0,1.0,22.0,7.72,5.0144281624047995,25.14448979591837
00010010,7.0,0.0,7.0,1.86,1.399854219815297,1.9595918367346936
00010011,7.0,0.0,7.0,3.06,1.7544113496194298,3.0779591836734688
00010100,9.0,0.0,9.0,1.7,1.6690459207925603,2.7857142857142856
00010101,6.0,0.0,6.0,1.26,1.306342455960495,1.706530612244898
00010110,2.0,0.0,2.0,0.48,0.6141195788629907,0.37714285714285706
00010111,27.0,9.0,18.0,16.22,4.390574319738006,19.277142857142856
00011000,14.0,3.0,11.0,7.26,2.686398089240973,7.21673469387755
00011001,4.0,0.0,4.0,1.12,1.1890658312391322,1.4138775510204082
00011010,2.0,0.0,2.0,0.38,0.6667006794044592,0.44448979591836746
00011011,12.0,1.0,11.0,5.52,2.815699427372553,7.9281632653061225
00011100,4.0,0.0,4.0,1.08,1.1036118809044553,1.2179591836734693
00011101,13.0,0.0,13.0,3.96,2.5790363648906873,6.65142857142857
00011110,5.0,0.0,5.0,1.46,1.2650723944760263,1.6004081632653064
00011111,94.0,31.0,63.0,64.6,12.750350135248388,162.57142857142858
00100000,201.0,57.0,144.0,136.68,37.08921401052289,1375.6097959183674
00100001,19.0,2.0,17.0,9.42,3.546139032922472,12.575102040816326
00100010,6.0,0.0,6.0,2.5,1.4880476182856899,2.2142857142857144
00100011,7.0,0.0,7.0,1.76,1.4078497136862766,1.982040816326531
00100100,6.0,0.0,6.0,1.8,1.5649215928719034,2.448979591836735
00100101,3.0,0.0,3.0,0.32,0.586932530976404,0.3444897959183674
00100110,2.0,0.0,2.0,0.2,0.4948716593053936,0.24489795918367355
00100111,7.0,0.0,7.0,2.26,1.6880129605847347,2.849387755102041
00101000,6.0,0.0,6.0,2.6,1.324802642213672,1.7551020408163265
00101001,2.0,0.0,2.0,0.2,0.45175395145262565,0.20408163265306126
00101010,0.0,0.0,0.0,0.0,0.0,0.0
00101011,3.0,0.0,3.0,0.32,0.6207303137828695,0.38530612244897955
00101100,1.0,0.0,1.0,0.08,0.27404751561786966,0.07510204081632653
00101101,3.0,0.0,3.0,0.16,0.5095015571464859,0.2595918367346939
00101110,1.0,0.0,1.0,0.12,0.32826072265931594,0.10775510204081633
00101111,7.0,0.0,7.0,2.62,1.5893780069510184,2.5261224489795917
