nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
16,1111,Hardware,111,Hardware,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,111,Simulation,111,0,5,0,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,111,Refreshed_Simulation,111,0,5,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Sim and Refreshed,111,0,5,0,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,111,Simulation,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,111,Hardware,111,0,5,0,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,111,Refreshed_Simulation,111,0,5,0,0.6408333333333334,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,111,Hardware,111,0,5,0,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Simulation,111,0,5,0,0.5311167945439045,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,111,Hardware,111,0,5,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Hardware,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,111,Simulation,111,0,5,1,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,111,Refreshed_Simulation,111,0,5,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Sim and Refreshed,111,0,5,1,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,111,Simulation,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,111,Hardware,111,0,5,1,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,111,Refreshed_Simulation,111,0,5,1,0.6441666666666667,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,111,Hardware,111,0,5,1,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Simulation,111,0,5,1,0.5413469735720375,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,111,Hardware,111,0,5,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,111,Simulation,111,0,5,2,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,111,Refreshed_Simulation,111,0,5,2,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Sim and Refreshed,111,0,5,2,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,111,Simulation,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,111,Hardware,111,0,5,2,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,111,Refreshed_Simulation,111,0,5,2,0.6441666666666667,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,111,Hardware,111,0,5,2,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Simulation,111,0,5,2,0.5413469735720375,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,111,Hardware,111,0,5,2,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Hardware,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,111,Simulation,111,0,5,3,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,111,Refreshed_Simulation,111,0,5,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Sim and Refreshed,111,0,5,3,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,111,Simulation,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,111,Hardware,111,0,5,3,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,111,Refreshed_Simulation,111,0,5,3,0.6441666666666667,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,111,Hardware,111,0,5,3,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Simulation,111,0,5,3,0.5413469735720375,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,111,Hardware,111,0,5,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Hardware,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,111,Simulation,111,0,5,4,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,111,Refreshed_Simulation,111,0,5,4,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,111,Sim and Refreshed,111,0,5,4,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,111,Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,111,Hardware,111,0,5,4,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,111,Refreshed_Simulation,111,0,5,4,0.6441666666666667,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,111,Hardware,111,0,5,4,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,111,Simulation,111,0,5,4,0.5413469735720375,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,111,Hardware,111,0,5,4,0.25,nan,nan,nan,nan,nan
