nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
16,1100,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,0110,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,0101,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,1010,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,1001,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,0011,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,1011,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Hardware,100,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,1100,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,0110,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,0101,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,1010,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,1001,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,0011,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,1011,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Simulation,100,Simulation,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,1100,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,0110,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,0101,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,1010,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,1001,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,0011,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,1011,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,1100,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,0110,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,0101,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,1010,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,1001,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,0011,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,1011,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Hardware,010,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,1100,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,0110,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,0101,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,1010,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,1001,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,0011,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,1011,Simulation,010,Simulation,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Simulation,010,Simulation,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,1100,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,0110,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,0101,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,1010,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,1001,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,0011,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,1011,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,1100,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,0110,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,0101,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,1010,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,1001,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,0011,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,1011,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Hardware,001,Hardware,001,0,5,2,1.0,nan,nan,nan,nan,nan
16,1100,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1100,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,0110,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0110,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,0101,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0101,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,1010,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1010,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,1001,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1001,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,0011,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,0011,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,1011,Simulation,001,Simulation,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1011,Simulation,001,Simulation,001,0,5,3,1.0,nan,nan,nan,nan,nan
16,1100,Refreshed_Simulation,001,Refreshed_Simulation,001,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
