nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
16,1111,Hardware,100,Hardware,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,5,0,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,5,0,0.255,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,5,0,0.6275,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,5,0,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,5,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,5,0,0.625,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,5,0,0.53,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,5,0,0.515,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,5,0,0.5225,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,5,0,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,5,0,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,5,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,5,1,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,5,1,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,5,1,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,5,1,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,5,1,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,5,1,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,5,1,0.53,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,5,1,0.51,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,5,1,0.52,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,5,1,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,5,1,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,5,1,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,5,2,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,5,2,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,5,2,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,5,2,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,5,2,0.53,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,5,2,0.51,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,5,2,0.52,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,5,2,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,5,2,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,5,2,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,5,3,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,5,3,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,5,3,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,5,3,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,5,3,0.53,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,5,3,0.51,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,5,3,0.52,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,5,3,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,5,3,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,5,3,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,5,4,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,5,4,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,5,4,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,5,4,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,5,4,0.53,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,5,4,0.51,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,5,4,0.52,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,5,4,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,5,4,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,5,4,0.5,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Simulation,010,0,5,0,0.49104859335038364,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,001,0,5,0,0.09718670076726342,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,011,0,5,0,0.29411764705882354,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,010,Simulation,100,0,5,0,0.4884910485933504,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,001,0,5,0,0.22762148337595908,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,101,0,5,0,0.35805626598465473,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,001,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,001,Simulation,100,0,5,0,0.2557544757033248,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,010,0,5,0,0.45012787723785164,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,110,0,5,0,0.35294117647058826,nan,nan,nan,nan,nan
16,1111,Simulation,011,Simulation,011,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,011,Simulation,100,0,5,0,0.4884910485933504,nan,nan,nan,nan,nan
16,1111,Simulation,101,Simulation,101,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,101,Simulation,010,0,5,0,0.4884910485933504,nan,nan,nan,nan,nan
16,1111,Simulation,110,Simulation,110,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,110,Simulation,001,0,5,0,0.22762148337595908,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Simulation,010,0,5,1,0.7416879795396419,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,001,0,5,1,0.08951406649616368,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,011,0,5,1,0.4156010230179028,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,010,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,010,Simulation,100,0,5,1,0.5652173913043478,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,001,0,5,1,0.21739130434782608,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,101,0,5,1,0.391304347826087,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,001,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,001,Simulation,100,0,5,1,0.2557544757033248,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,010,0,5,1,0.5115089514066496,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,110,0,5,1,0.3836317135549872,nan,nan,nan,nan,nan
16,1111,Simulation,011,Simulation,011,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,011,Simulation,100,0,5,1,0.5549872122762148,nan,nan,nan,nan,nan
16,1111,Simulation,101,Simulation,101,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,101,Simulation,010,0,5,1,0.4884910485933504,nan,nan,nan,nan,nan
16,1111,Simulation,110,Simulation,110,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,110,Simulation,001,0,5,1,0.21739130434782608,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Simulation,010,0,5,2,0.7416879795396419,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,001,0,5,2,0.08951406649616368,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,011,0,5,2,0.4156010230179028,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,010,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,010,Simulation,100,0,5,2,0.5652173913043478,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,001,0,5,2,0.21739130434782608,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,101,0,5,2,0.391304347826087,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,001,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,001,Simulation,100,0,5,2,0.2557544757033248,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,010,0,5,2,0.5115089514066496,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,110,0,5,2,0.3836317135549872,nan,nan,nan,nan,nan
16,1111,Simulation,011,Simulation,011,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,011,Simulation,100,0,5,2,0.5549872122762148,nan,nan,nan,nan,nan
16,1111,Simulation,101,Simulation,101,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,101,Simulation,010,0,5,2,0.4884910485933504,nan,nan,nan,nan,nan
