nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
4,1100,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,0110,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,0110,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,0101,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,0101,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,1010,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1010,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,1001,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1001,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,0011,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,0011,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,1011,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1011,Hardware,111,Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
4,1100,Simulation,111,Simulation,111,0,5,3,0.9583333333333334,0.9791666666666666,0.9895833333333334,0.96875,0.9791666666666666,0.9791666666666666
4,1100,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,0110,Simulation,111,Simulation,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,0110,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,0101,Simulation,111,Simulation,111,0,5,3,0.9666666666666667,0.9479166666666666,0.9270833333333334,0.9583333333333334,0.9375,0.90625
4,0101,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,1010,Simulation,111,Simulation,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1010,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,1001,Simulation,111,Simulation,111,0,5,3,0.9416666666666667,0.9791666666666666,0.9895833333333334,0.9583333333333334,0.9791666666666666,0.9791666666666666
4,1001,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,0011,Simulation,111,Simulation,111,0,5,3,0.9916666666666667,0.9791666666666666,1.0,0.9895833333333334,0.96875,0.9791666666666666
4,0011,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,1011,Simulation,111,Simulation,111,0,5,3,0.9666666666666667,0.9791666666666666,0.9722222222222222,1.0,0.9375,0.9652777777777778
4,1011,Simulation,111,Simulation,111,0,5,3,1.0,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
4,0110,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,0.9916666666666667,1.0,1.0,1.0,1.0,0.9895833333333334
4,0110,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
4,0101,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,0101,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
4,1010,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1010,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
4,1001,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,1001,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
4,0011,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
4,0011,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
4,1011,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,0.9930555555555556,1.0,1.0
4,1011,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,nan,nan,nan,nan,nan
