nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
8,1111,Hardware,111,Hardware,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,0,0.3375,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,0,0.315,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,0,0.32625,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,0,0.9875,0.9895833333333334,1.0,0.9947916666666666,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,0,0.2,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,0,0.37833333333333335,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,0,0.31,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,0,0.4075,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,1,0.28583333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,1,0.3425,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,1,0.31416666666666665,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,1,0.9916666666666667,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,1,0.26,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,1,0.4558333333333333,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,1,0.36833333333333335,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,1,0.5533333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,2,0.28583333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,2,0.3425,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,2,0.31416666666666665,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,2,0.9916666666666667,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,2,0.26,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,2,0.4558333333333333,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,2,0.36833333333333335,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,2,0.5533333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,3,0.28583333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,3,0.3425,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,3,0.31416666666666665,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,3,0.9916666666666667,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,3,0.26,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,3,0.4558333333333333,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,3,0.36833333333333335,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,3,0.5533333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,4,0.28583333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,4,0.3425,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,4,0.31416666666666665,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,4,0.9916666666666667,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,4,0.26,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,4,0.4558333333333333,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,4,0.36833333333333335,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,4,0.5533333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,5,0,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,5,0,0.4775,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,5,0,0.36375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,5,0,1.0,1.0,0.984375,1.0,0.984375,1.0
8,1111,Simulation,100,Hardware,100,0,5,0,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,5,0,0.7325,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,5,0,0.43,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,5,0,0.4775,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,5,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,5,1,0.5375,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,5,1,0.39375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,5,1,1.0,1.0,1.0,1.0,0.984375,1.0
8,1111,Simulation,100,Hardware,100,0,5,1,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,5,1,0.7375,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,5,1,0.4,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,5,1,0.6525,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,5,2,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,5,2,0.5375,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,5,2,0.39375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,5,2,1.0,1.0,1.0,1.0,0.984375,1.0
8,1111,Simulation,100,Hardware,100,0,5,2,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,5,2,0.7375,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,5,2,0.4,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,5,2,0.6525,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,5,3,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,5,3,0.5375,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,5,3,0.39375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,5,3,1.0,1.0,1.0,1.0,0.984375,1.0
8,1111,Simulation,100,Hardware,100,0,5,3,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,5,3,0.7375,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,3,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,5,3,0.4,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,5,3,0.6525,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,5,4,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,5,4,0.5375,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,5,4,0.39375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,5,4,1.0,1.0,1.0,1.0,0.984375,1.0
8,1111,Simulation,100,Hardware,100,0,5,4,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,5,4,0.7375,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,4,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,5,4,0.4,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,5,4,0.6525,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,010,Simulation,010,0,5,0,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,5,0,0.4675,nan,nan,nan,nan,nan
8,1111,Hardware,010,Sim and Refreshed,010,0,5,0,0.48375,nan,nan,nan,nan,nan
8,1111,Simulation,010,Simulation,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,010,Hardware,010,0,5,0,0.265,nan,nan,nan,nan,nan
8,1111,Simulation,010,Refreshed_Simulation,010,0,5,0,0.395,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Refreshed_Simulation,010,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,010,Hardware,010,0,5,0,0.25,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,010,Simulation,010,0,5,0,0.495,nan,nan,nan,nan,nan
8,1111,Hardware,010,Hardware,010,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,010,Simulation,010,0,5,1,0.27,nan,nan,nan,nan,nan
8,1111,Hardware,010,Refreshed_Simulation,010,0,5,1,0.49,nan,nan,nan,nan,nan
