nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
4,1111,Hardware,111,Hardware,111,0,3,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,3,0,0.22583333333333333,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,3,0,0.17916666666666667,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,3,0,0.2025,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,3,0,0.9291666666666667,0.9375,0.921875,0.9270833333333334,0.9375,0.9375
4,1111,Simulation,111,Hardware,111,0,3,0,0.2881619937694704,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,3,0,0.18083333333333335,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,3,0,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,3,0,0.24454828660436137,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,3,0,0.155,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,3,0,0.925,0.9036458333333334,0.9192708333333334,0.9192708333333334,0.9088541666666666,0.9140625
4,1111,Sim and Refreshed,111,Hardware,111,0,3,0,0.37227414330218067,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,10,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,10,0,0.24,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,10,0,0.18833333333333332,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,10,0,0.21416666666666667,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,10,0,0.9458333333333333,0.9375,0.9166666666666666,0.90625,0.9166666666666666,0.9322916666666666
4,1111,Simulation,111,Hardware,111,0,10,0,0.22585669781931464,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,10,0,0.1225,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,10,0,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,10,0,0.24454828660436137,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,10,0,0.17,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,10,0,0.925,0.8958333333333334,0.9088541666666666,0.8958333333333334,0.9140625,0.9088541666666666
4,1111,Sim and Refreshed,111,Hardware,111,0,10,0,0.32242990654205606,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,15,0,1.0,1.0,0.9902912621359223,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,15,0,0.22916666666666666,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,15,0,0.1875,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,15,0,0.20833333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,15,0,0.95,0.9322916666666666,0.90625,0.890625,0.9166666666666666,0.9270833333333334
4,1111,Simulation,111,Hardware,111,0,15,0,0.21806853582554517,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,15,0,0.1175,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,15,0,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,15,0,0.24454828660436137,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,15,0,0.17,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,15,0,0.925,0.8880208333333334,0.9114583333333334,0.8958333333333334,0.921875,0.9036458333333334
4,1111,Sim and Refreshed,111,Hardware,111,0,15,0,0.32866043613707163,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,3,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,3,1,0.23083333333333333,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,3,1,0.18833333333333332,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,3,1,0.20958333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,3,1,0.9458333333333333,0.9583333333333334,0.9270833333333334,0.9479166666666666,0.9479166666666666,0.9427083333333334
4,1111,Simulation,111,Hardware,111,0,3,1,0.20093457943925233,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,3,1,0.18083333333333335,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,3,1,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,3,1,0.21495327102803738,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,3,1,0.17083333333333334,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,3,1,0.9458333333333333,0.9192708333333334,0.9453125,0.9348958333333334,0.9348958333333334,0.9270833333333334
4,1111,Sim and Refreshed,111,Hardware,111,0,3,1,0.3130841121495327,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,10,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,10,1,0.28,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,10,1,0.18916666666666668,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,10,1,0.23458333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,10,1,0.9625,0.9635416666666666,0.9322916666666666,0.9322916666666666,0.953125,0.9427083333333334
4,1111,Simulation,111,Hardware,111,0,10,1,0.16199376947040497,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,10,1,0.1275,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,10,1,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,10,1,0.2118380062305296,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,10,1,0.17333333333333334,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,10,1,0.9479166666666666,0.9192708333333334,0.9322916666666666,0.9348958333333334,0.9348958333333334,0.9244791666666666
4,1111,Sim and Refreshed,111,Hardware,111,0,10,1,0.2570093457943925,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,15,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,15,1,0.2708333333333333,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,15,1,0.1875,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,15,1,0.22916666666666666,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,15,1,0.9625,0.9635416666666666,0.9322916666666666,0.9375,0.9479166666666666,0.9479166666666666
4,1111,Simulation,111,Hardware,111,0,15,1,0.1557632398753894,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,15,1,0.11833333333333333,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,15,1,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,15,1,0.2118380062305296,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,15,1,0.17,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,15,1,0.9458333333333333,0.9192708333333334,0.9270833333333334,0.9427083333333334,0.9348958333333334,0.9244791666666666
4,1111,Sim and Refreshed,111,Hardware,111,0,15,1,0.2585669781931464,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,3,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,3,2,0.23083333333333333,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,3,2,0.18833333333333332,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,3,2,0.20958333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,3,2,0.9458333333333333,0.9583333333333334,0.9270833333333334,0.9479166666666666,0.9479166666666666,0.9427083333333334
4,1111,Simulation,111,Hardware,111,0,3,2,0.20093457943925233,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,3,2,0.18083333333333335,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,3,2,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,3,2,0.21495327102803738,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,3,2,0.17083333333333334,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,3,2,0.9458333333333333,0.9192708333333334,0.9453125,0.9348958333333334,0.9348958333333334,0.9270833333333334
4,1111,Sim and Refreshed,111,Hardware,111,0,3,2,0.3130841121495327,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,10,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,10,2,0.28,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,10,2,0.18916666666666668,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,10,2,0.23458333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,10,2,0.9625,0.9635416666666666,0.9322916666666666,0.9322916666666666,0.953125,0.9427083333333334
4,1111,Simulation,111,Hardware,111,0,10,2,0.16199376947040497,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,10,2,0.1275,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,10,2,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,10,2,0.2118380062305296,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,10,2,0.17333333333333334,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,10,2,0.9479166666666666,0.9192708333333334,0.9322916666666666,0.9348958333333334,0.9348958333333334,0.9244791666666666
4,1111,Sim and Refreshed,111,Hardware,111,0,10,2,0.2570093457943925,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,15,2,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,15,2,0.2708333333333333,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,15,2,0.1875,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,15,2,0.22916666666666666,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,15,2,0.9625,0.9635416666666666,0.9322916666666666,0.9375,0.9479166666666666,0.9479166666666666
4,1111,Simulation,111,Hardware,111,0,15,2,0.1557632398753894,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,15,2,0.11833333333333333,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,15,2,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,15,2,0.2118380062305296,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,15,2,0.17,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,15,2,0.9458333333333333,0.9192708333333334,0.9270833333333334,0.9427083333333334,0.9348958333333334,0.9244791666666666
4,1111,Sim and Refreshed,111,Hardware,111,0,15,2,0.2585669781931464,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,3,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,3,3,0.23083333333333333,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,3,3,0.18833333333333332,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,3,3,0.20958333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,3,3,0.9458333333333333,0.9583333333333334,0.9270833333333334,0.9479166666666666,0.9479166666666666,0.9427083333333334
4,1111,Simulation,111,Hardware,111,0,3,3,0.20093457943925233,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,3,3,0.18083333333333335,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,3,3,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,3,3,0.21495327102803738,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,3,3,0.17083333333333334,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,3,3,0.9458333333333333,0.9192708333333334,0.9453125,0.9348958333333334,0.9348958333333334,0.9270833333333334
4,1111,Sim and Refreshed,111,Hardware,111,0,3,3,0.3130841121495327,nan,nan,nan,nan,nan
4,1111,Hardware,111,Hardware,111,0,10,3,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,111,Simulation,111,0,10,3,0.28,nan,nan,nan,nan,nan
4,1111,Hardware,111,Refreshed_Simulation,111,0,10,3,0.18916666666666668,nan,nan,nan,nan,nan
4,1111,Hardware,111,Sim and Refreshed,111,0,10,3,0.23458333333333334,nan,nan,nan,nan,nan
4,1111,Simulation,111,Simulation,111,0,10,3,0.9625,0.9635416666666666,0.9322916666666666,0.9322916666666666,0.953125,0.9427083333333334
4,1111,Simulation,111,Hardware,111,0,10,3,0.16199376947040497,nan,nan,nan,nan,nan
4,1111,Simulation,111,Refreshed_Simulation,111,0,10,3,0.1275,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,10,3,0.9958333333333333,1.0,1.0,0.9947916666666666,1.0,1.0
4,1111,Refreshed_Simulation,111,Hardware,111,0,10,3,0.2118380062305296,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,111,Simulation,111,0,10,3,0.17333333333333334,nan,nan,nan,nan,nan
4,1111,Sim and Refreshed,111,Sim and Refreshed,111,0,10,3,0.9479166666666666,0.9192708333333334,0.9322916666666666,0.9348958333333334,0.9348958333333334,0.9244791666666666
