nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
16,1111,Hardware,100,Hardware,100,0,linear,0,0.9,0.9375,0.9375,0.90625,0.9375,0.90625
16,1111,Hardware,100,Simulation,100,0,linear,0,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,100,Refreshed_Simulation,100,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Sim and Refreshed,100,0,linear,0,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Hardware,100,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,100,Refreshed_Simulation,100,0,linear,0,0.9975,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,100,Hardware,100,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,100,Simulation,100,0,linear,0,0.7595907928388747,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,100,Sim and Refreshed,100,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,100,Hardware,100,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Simulation,100,0,poly,1,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Hardware,100,Refreshed_Simulation,100,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Sim and Refreshed,100,0,poly,1,0.24146649810366624,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Hardware,100,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Simulation,100,Refreshed_Simulation,100,0,poly,1,0.685,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Refreshed_Simulation,100,Hardware,100,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Refreshed_Simulation,100,Simulation,100,0,poly,1,0.5217391304347826,nan,nan,nan,nan,nan
16,1111,Sim and Refreshed,100,Sim and Refreshed,100,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Sim and Refreshed,100,Hardware,100,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Simulation,100,0,rbf,2,0.23273657289002558,nan,nan,nan,nan,nan
