nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
16,1111,Hardware,100,Hardware,100,0,linear,0,0.9,0.9375,0.9375,0.90625,0.9375,0.90625
16,1111,Hardware,100,Hardware,010,0,linear,0,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,linear,0,0.625,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,linear,0,1.0,0.875,0.96875,0.90625,0.875,0.9375
16,1111,Hardware,010,Hardware,100,0,linear,0,0.98,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,linear,0,0.615,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,linear,0,0.15,0.28125,0.28125,0.28125,0.28125,0.25
16,1111,Hardware,001,Hardware,100,0,linear,0,0.515,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,linear,0,0.515,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,linear,0,0.515,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,linear,0,0.65,0.625,0.671875,0.59375,0.546875,0.625
16,1111,Hardware,011,Hardware,100,0,linear,0,0.97,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,linear,0,0.5875,0.609375,0.78125,0.5625,0.546875,0.578125
16,1111,Hardware,101,Hardware,010,0,linear,0,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,linear,0,1.0,1.0,1.0,1.0,1.0,0.984375
16,1111,Hardware,110,Hardware,001,0,linear,0,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,poly,1,0.985,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,poly,1,0.6175,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,poly,1,0.345,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,poly,1,0.2975,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,poly,1,0.625,0.625,0.6875,0.59375,0.5625,0.5625
16,1111,Hardware,001,Hardware,100,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,poly,1,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,poly,1,1.0,0.90625,0.953125,0.9375,0.984375,0.96875
16,1111,Hardware,011,Hardware,100,0,poly,1,0.88,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,poly,1,0.9875,0.984375,0.953125,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,poly,1,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,poly,1,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,rbf,2,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,rbf,2,0.26,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,rbf,2,0.63,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,rbf,2,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,rbf,2,0.255,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,rbf,2,0.6275,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,rbf,2,0.525,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,rbf,2,0.515,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,rbf,2,0.52,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,rbf,2,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,rbf,2,0.88,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,rbf,2,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,poly,3,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,poly,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,poly,3,0.625,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,poly,3,0.75,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,poly,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,poly,3,0.5,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,poly,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,poly,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,poly,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,poly,3,0.77,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,poly,3,0.995,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,poly,3,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,poly,3,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,100,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,100,Hardware,010,0,poly,4,0.985,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,001,0,poly,4,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,100,Hardware,011,0,poly,4,0.6175,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,010,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,010,Hardware,100,0,poly,4,0.455,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,001,0,poly,4,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,010,Hardware,101,0,poly,4,0.3525,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,001,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,001,Hardware,100,0,poly,4,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,010,0,poly,4,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,001,Hardware,110,0,poly,4,0.25,nan,nan,nan,nan,nan
16,1111,Hardware,011,Hardware,011,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,011,Hardware,100,0,poly,4,0.97,nan,nan,nan,nan,nan
16,1111,Hardware,101,Hardware,101,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,101,Hardware,010,0,poly,4,1.0,nan,nan,nan,nan,nan
16,1111,Hardware,110,Hardware,110,0,poly,4,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Hardware,110,Hardware,001,0,poly,4,0.27,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Simulation,010,0,linear,0,0.4961636828644501,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,001,0,linear,0,0.08951406649616368,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,011,0,linear,0,0.2928388746803069,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,010,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,010,Simulation,100,0,linear,0,0.49104859335038364,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,001,0,linear,0,0.22506393861892582,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,101,0,linear,0,0.35805626598465473,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,001,0,linear,0,1.0,0.8412698412698413,0.8571428571428571,0.8387096774193549,0.8387096774193549,0.8548387096774194
16,1111,Simulation,001,Simulation,100,0,linear,0,0.2557544757033248,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,010,0,linear,0,0.309462915601023,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,110,0,linear,0,0.2826086956521739,nan,nan,nan,nan,nan
16,1111,Simulation,011,Simulation,011,0,linear,0,1.0,1.0,1.0,1.0,0.992,1.0
16,1111,Simulation,011,Simulation,100,0,linear,0,0.4859335038363171,nan,nan,nan,nan,nan
16,1111,Simulation,101,Simulation,101,0,linear,0,1.0,1.0,0.976,0.992,0.976,0.984
16,1111,Simulation,101,Simulation,010,0,linear,0,0.7442455242966752,nan,nan,nan,nan,nan
16,1111,Simulation,110,Simulation,110,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,110,Simulation,001,0,linear,0,0.023017902813299233,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,100,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,100,Simulation,010,0,poly,1,0.6163682864450127,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,001,0,poly,1,0.2608695652173913,nan,nan,nan,nan,nan
16,1111,Simulation,100,Simulation,011,0,poly,1,0.43861892583120204,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,010,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,010,Simulation,100,0,poly,1,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,001,0,poly,1,0.1815856777493606,nan,nan,nan,nan,nan
16,1111,Simulation,010,Simulation,101,0,poly,1,0.2071611253196931,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,001,0,poly,1,1.0,1.0,1.0,1.0,1.0,1.0
16,1111,Simulation,001,Simulation,100,0,poly,1,0.23273657289002558,nan,nan,nan,nan,nan
16,1111,Simulation,001,Simulation,010,0,poly,1,0.5115089514066496,nan,nan,nan,nan,nan
