nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
4,1100,Hardware,111,Hardware,111,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Hardware,111,Simulation,111,0,linear,0,0.24833333333333332,nan,nan,nan,nan,nan
4,1100,Hardware,111,Refreshed_Simulation,111,0,linear,0,0.38,nan,nan,nan,nan,nan
4,1100,Hardware,111,Sim and Refreshed,111,0,linear,0,0.31416666666666665,nan,nan,nan,nan,nan
4,1110,Simulation,111,Simulation,111,0,linear,0,0.65,0.6458333333333334,0.640625,0.5625,0.6197916666666666,0.6666666666666666
4,1110,Simulation,111,Hardware,111,0,linear,0,0.5,nan,nan,nan,nan,nan
4,1110,Simulation,111,Refreshed_Simulation,111,0,linear,0,0.25333333333333335,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Refreshed_Simulation,111,0,linear,0,0.6666666666666666,0.6770833333333334,0.625,0.7708333333333334,0.5729166666666666,0.59375
4,1100,Refreshed_Simulation,111,Hardware,111,0,linear,0,0.41228070175438597,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Simulation,111,0,linear,0,0.52,nan,nan,nan,nan,nan
4,1110,Sim and Refreshed,111,Sim and Refreshed,111,0,linear,0,0.5777777777777777,0.5555555555555556,0.5416666666666666,0.5902777777777778,0.53125,0.53125
4,1110,Sim and Refreshed,111,Hardware,111,0,linear,0,0.4766081871345029,nan,nan,nan,nan,nan
4,1100,Hardware,111,Hardware,111,0,rbf,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Hardware,111,Simulation,111,0,rbf,0,0.25666666666666665,nan,nan,nan,nan,nan
4,1100,Hardware,111,Refreshed_Simulation,111,0,rbf,0,0.37833333333333335,nan,nan,nan,nan,nan
4,1100,Hardware,111,Sim and Refreshed,111,0,rbf,0,0.3175,nan,nan,nan,nan,nan
4,1110,Simulation,111,Simulation,111,0,rbf,0,0.8875,0.84375,0.8802083333333334,0.8385416666666666,0.8229166666666666,0.8489583333333334
4,1110,Simulation,111,Hardware,111,0,rbf,0,0.3333333333333333,nan,nan,nan,nan,nan
4,1110,Simulation,111,Refreshed_Simulation,111,0,rbf,0,0.13833333333333334,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Refreshed_Simulation,111,0,rbf,0,0.9916666666666667,0.9895833333333334,1.0,1.0,1.0,1.0
4,1100,Refreshed_Simulation,111,Hardware,111,0,rbf,0,0.3333333333333333,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Simulation,111,0,rbf,0,0.52,nan,nan,nan,nan,nan
4,1110,Sim and Refreshed,111,Sim and Refreshed,111,0,rbf,0,0.8166666666666667,0.78125,0.7604166666666666,0.75,0.7638888888888888,0.7465277777777778
4,1110,Sim and Refreshed,111,Hardware,111,0,rbf,0,0.4766081871345029,nan,nan,nan,nan,nan
4,1100,Hardware,111,Hardware,111,0,poly,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Hardware,111,Simulation,111,0,poly,0,0.48,nan,nan,nan,nan,nan
4,1100,Hardware,111,Refreshed_Simulation,111,0,poly,0,0.2833333333333333,nan,nan,nan,nan,nan
4,1100,Hardware,111,Sim and Refreshed,111,0,poly,0,0.38166666666666665,nan,nan,nan,nan,nan
4,1110,Simulation,111,Simulation,111,0,poly,0,0.9291666666666667,0.8854166666666666,0.8645833333333334,0.8072916666666666,0.7864583333333334,0.8541666666666666
4,1110,Simulation,111,Hardware,111,0,poly,0,0.3391812865497076,nan,nan,nan,nan,nan
4,1110,Simulation,111,Refreshed_Simulation,111,0,poly,0,0.18333333333333332,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Refreshed_Simulation,111,0,poly,0,0.9916666666666667,0.9895833333333334,1.0,1.0,1.0,0.9895833333333334
4,1100,Refreshed_Simulation,111,Hardware,111,0,poly,0,0.1783625730994152,nan,nan,nan,nan,nan
4,1100,Refreshed_Simulation,111,Simulation,111,0,poly,0,0.5233333333333333,nan,nan,nan,nan,nan
4,1110,Sim and Refreshed,111,Sim and Refreshed,111,0,poly,0,0.8111111111111111,0.8055555555555556,0.7708333333333334,0.7430555555555556,0.75,0.7395833333333334
4,1110,Sim and Refreshed,111,Hardware,111,0,poly,0,0.4415204678362573,nan,nan,nan,nan,nan
