nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
4,1111,Hardware,100,Hardware,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Hardware,100,Simulation,100,0,5,0,0.0125,nan,nan,nan,nan,nan
4,1111,Hardware,100,Refreshed_Simulation,100,0,5,0,0.24,nan,nan,nan,nan,nan
4,1111,Hardware,100,Refreshed_Hardware,100,0,5,0,0.5,nan,nan,nan,nan,nan
4,1111,Hardware,100,Sim and Refreshed,100,0,5,0,0.12625,nan,nan,nan,nan,nan
4,1111,Simulation,100,Simulation,100,0,5,0,0.975,0.84375,0.9375,0.921875,0.953125,0.90625
4,1111,Simulation,100,Hardware,100,0,5,0,0.07476635514018691,nan,nan,nan,nan,nan
4,1111,Simulation,100,Refreshed_Simulation,100,0,5,0,0.03,nan,nan,nan,nan,nan
4,1111,Simulation,100,Refreshed_Hardware,100,0,5,0,0.5,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1111,Refreshed_Simulation,100,Hardware,100,0,5,0,0.2336448598130841,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Simulation,100,0,5,0,0.1,nan,nan,nan,nan,nan
4,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,5,0,0.06,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
4,1100,Refreshed_Hardware,100,Hardware,100,0,5,0,0.6842105263157895,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Simulation,100,0,5,0,0.5,nan,nan,nan,nan,nan
4,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,5,0,0.035,nan,nan,nan,nan,nan
4,1111,Hardware,100,Hardware,100,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
