nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,n_neighbors,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
8,1111,Hardware,111,Hardware,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,0,0.3333333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,0,0.3016666666666667,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Hardware,111,0,5,0,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,0,0.3175,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,0,0.9875,0.9895833333333334,1.0,0.9947916666666666,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,0,0.04962962962962963,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,0,0.37833333333333335,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Hardware,111,0,5,0,0.51,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,0,0.1622222222222222,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,0,0.4075,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Hardware,111,0,5,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Refreshed_Hardware,111,0,5,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,111,Hardware,111,0,5,0,0.9933333333333333,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Simulation,111,0,5,0,0.7483333333333333,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Refreshed_Simulation,111,0,5,0,0.765,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,1,0.2783333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,1,0.3958333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Hardware,111,0,5,1,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,1,0.33708333333333335,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,5,1,0.9916666666666667,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,111,Hardware,111,0,5,1,0.07074074074074074,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,5,1,0.4558333333333333,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Hardware,111,0,5,1,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,111,Hardware,111,0,5,1,0.3333333333333333,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,5,1,0.5533333333333333,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Hardware,111,0,5,1,0.44333333333333336,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Refreshed_Hardware,111,0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,111,Hardware,111,0,5,1,1.0,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Simulation,111,0,5,1,0.505,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Refreshed_Simulation,111,0,5,1,0.6516666666666666,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,5,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,111,Simulation,111,0,5,2,0.2783333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,5,2,0.3958333333333333,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Hardware,111,0,5,2,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,5,2,0.33708333333333335,nan,nan,nan,nan,nan
