nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
8,1111,Hardware,111,Hardware,111,0,linear,0,0.9642857142857143,0.9583333333333334,0.9732142857142857,0.9583333333333334,0.9613095238095238,0.9642857142857143
8,1111,Hardware,111,Simulation,111,0,linear,0,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,linear,0,0.2375,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Hardware,111,0,linear,0,0.8333333333333334,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,linear,0,0.24375,nan,nan,nan,nan,nan
8,1111,Simulation,111,Simulation,111,0,linear,0,0.9583333333333334,0.9270833333333334,0.8854166666666666,0.9739583333333334,0.9322916666666666,0.9270833333333334
8,1111,Simulation,111,Hardware,111,0,linear,0,0.0719047619047619,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Simulation,111,0,linear,0,0.49,nan,nan,nan,nan,nan
8,1111,Simulation,111,Refreshed_Hardware,111,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Simulation,111,0,linear,0,0.9625,0.8854166666666666,0.9739583333333334,0.9479166666666666,0.953125,0.8854166666666666
8,1111,Refreshed_Simulation,111,Hardware,111,0,linear,0,0.07142857142857142,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Simulation,111,0,linear,0,0.43333333333333335,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,111,Refreshed_Hardware,111,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Refreshed_Hardware,111,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,111,Hardware,111,0,linear,0,0.9533333333333334,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Simulation,111,0,linear,0,0.7583333333333333,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,111,Refreshed_Simulation,111,0,linear,0,0.8316666666666667,nan,nan,nan,nan,nan
8,1111,Hardware,111,Hardware,111,0,poly,1,0.8476190476190476,0.8541666666666666,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
8,1111,Hardware,111,Simulation,111,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Simulation,111,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,111,Refreshed_Hardware,111,0,poly,1,0.0,nan,nan,nan,nan,nan
8,1111,Hardware,111,Sim and Refreshed,111,0,poly,1,0.25,nan,nan,nan,nan,nan
