nr_qubits,machines,tr&v exp_type,tr&v circuits,test exp_type,test circuits,preprocess settings,kernal,param settings,accuracy,cv_1,cv_2,cv_3,cv_4,cv_5
8,1111,Hardware,100,Hardware,100,0,linear,0,0.975,0.96875,0.984375,0.984375,0.984375,0.984375
8,1111,Hardware,100,Simulation,100,0,linear,0,0.3825,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,linear,0,0.285,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Hardware,100,0,linear,0,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,linear,0,0.33375,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,linear,0,1.0,1.0,0.984375,1.0,0.984375,1.0
8,1111,Simulation,100,Hardware,100,0,linear,0,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,linear,0,0.7175,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Hardware,100,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Refreshed_Simulation,100,Hardware,100,0,linear,0,0.14,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,linear,0,0.4775,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,linear,0,1.0,1.0,1.0,1.0,1.0,1.0
8,1100,Refreshed_Hardware,100,Hardware,100,0,linear,0,0.97,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Simulation,100,0,linear,0,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,linear,0,0.7,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,poly,1,0.3,0.390625,0.390625,0.40625,0.390625,0.390625
8,1111,Hardware,100,Simulation,100,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Hardware,100,0,poly,1,0.0,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,poly,1,0.25,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,poly,1,0.6625,0.484375,0.46875,0.5,0.5,0.25
8,1111,Simulation,100,Hardware,100,0,poly,1,0.125,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Simulation,100,0,poly,1,0.5675,nan,nan,nan,nan,nan
8,1111,Simulation,100,Refreshed_Hardware,100,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Simulation,100,0,poly,1,0.675,0.5625,0.765625,0.765625,0.515625,0.78125
8,1111,Refreshed_Simulation,100,Hardware,100,0,poly,1,0.2075,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Simulation,100,0,poly,1,0.385,nan,nan,nan,nan,nan
8,1111,Refreshed_Simulation,100,Refreshed_Hardware,100,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Hardware,100,0,poly,1,0.4,0.5625,0.5625,0.5,0.5,0.5
8,1100,Refreshed_Hardware,100,Hardware,100,0,poly,1,0.84,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Simulation,100,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1100,Refreshed_Hardware,100,Refreshed_Simulation,100,0,poly,1,0.5,nan,nan,nan,nan,nan
8,1111,Hardware,100,Hardware,100,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Hardware,100,Simulation,100,0,rbf,2,0.3275,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Simulation,100,0,rbf,2,0.3625,nan,nan,nan,nan,nan
8,1111,Hardware,100,Refreshed_Hardware,100,0,rbf,2,1.0,nan,nan,nan,nan,nan
8,1111,Hardware,100,Sim and Refreshed,100,0,rbf,2,0.345,nan,nan,nan,nan,nan
8,1111,Simulation,100,Simulation,100,0,rbf,2,1.0,1.0,1.0,1.0,1.0,1.0
8,1111,Simulation,100,Hardware,100,0,rbf,2,0.125,nan,nan,nan,nan,nan
