00000000,00000001,00000010,00000011,00000100,00000101,00000110,00000111,00001000,00001001,00001010,00001011,00001100,00001101,00001110,00001111,00010000,00010001,00010010,00010011,00010100,00010101,00010110,00010111,00011000,00011001,00011010,00011011,00011100,00011101,00011110,00011111,00100000,00100001,00100010,00100011,00100100,00100101,00100110,00100111,00101000,00101001,00101010,00101011,00101100,00101101,00101110,00101111,00110000,00110001,00110010,00110011,00110100,00110101,00110110,00110111,00111000,00111001,00111010,00111011,00111100,00111101,00111110,00111111,01000000,01000001,01000010,01000011,01000100,01000101,01000110,01000111,01001000,01001001,01001010,01001011,01001100,01001101,01001110,01001111,01010000,01010001,01010010,01010011,01010100,01010101,01010110,01010111,01011000,01011001,01011010,01011011,01011100,01011101,01011110,01011111,01100000,01100001,01100010,01100011,01100100,01100101,01100110,01100111,01101000,01101001,01101010,01101011,01101100,01101101,01101110,01101111,01110000,01110001,01110010,01110011,01110100,01110101,01110110,01110111,01111000,01111001,01111010,01111011,01111100,01111101,01111110,01111111,10000000,10000001,10000010,10000011,10000100,10000101,10000110,10000111,10001000,10001001,10001010,10001011,10001100,10001101,10001110,10001111,10010000,10010001,10010010,10010011,10010100,10010101,10010110,10010111,10011000,10011001,10011010,10011011,10011100,10011101,10011110,10011111,10100000,10100001,10100010,10100011,10100100,10100101,10100110,10100111,10101000,10101001,10101010,10101011,10101100,10101101,10101110,10101111,10110000,10110001,10110010,10110011,10110100,10110101,10110110,10110111,10111000,10111001,10111010,10111011,10111100,10111101,10111110,10111111,11000000,11000001,11000010,11000011,11000100,11000101,11000110,11000111,11001000,11001001,11001010,11001011,11001100,11001101,11001110,11001111,11010000,11010001,11010010,11010011,11010100,11010101,11010110,11010111,11011000,11011001,11011010,11011011,11011100,11011101,11011110,11011111,11100000,11100001,11100010,11100011,11100100,11100101,11100110,11100111,11101000,11101001,11101010,11101011,11101100,11101101,11101110,11101111,11110000,11110001,11110010,11110011,11110100,11110101,11110110,11110111,11111000,11111001,11111010,11111011,11111100,11111101,11111110,11111111
2142,594,227,86,63,46,25,17,74,31,11,5,12,8,2,2,131,31,18,6,7,5,1,,6,3,3,2,5,2,1,3,140,46,15,7,6,3,3,1,5,2,,,,,,1,13,6,2,1,1,4,,1,4,1,,,,,1,,43,15,8,6,4,2,,,2,,1,1,,1,,1,8,,2,,1,,,,1,,,,,,,,8,7,2,,2,,,,,1,,,,,,,,,,,,,,,2,1,,,,,,,65,23,7,3,1,,2,1,5,1,,,,,,,3,1,,,1,,,,,1,,,,,,,6,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,1,,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,,2,1,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,
2173,589,231,94,76,50,17,14,54,37,12,5,10,5,5,6,126,31,10,6,4,3,5,4,10,5,4,2,3,5,1,3,130,40,12,4,4,2,1,,7,6,1,1,2,2,1,,12,6,4,2,1,,,,2,2,1,,,2,,,50,20,4,4,2,1,,,1,1,,,1,,2,1,1,1,2,,,,,,,,,1,,,,,8,3,1,,1,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,68,26,7,1,,,1,,3,2,,1,,1,,,6,,,,,,,,1,1,,,,,,,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,1,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,
2079,590,245,100,89,48,24,16,66,30,14,6,10,9,6,6,123,39,18,8,6,1,,,5,10,1,3,2,2,1,1,148,49,19,10,6,4,2,1,5,2,,1,2,,,,7,6,1,1,2,,,,3,,,,1,2,,,48,20,3,3,1,2,,1,2,3,,,,,,,2,1,,1,,1,,,,1,,,1,,,,14,4,1,1,,,,,1,,,,,,,,3,,,1,,1,,,1,,,,,,,,57,27,9,4,6,4,2,3,5,1,1,,,,,1,6,1,1,1,,,1,,,1,,,,,,,6,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2140,562,218,80,101,45,21,23,83,36,15,8,16,4,7,2,123,37,13,5,6,4,4,3,4,9,4,2,3,2,1,2,135,39,17,8,5,4,3,2,5,3,2,2,2,,1,1,9,3,3,1,2,,,,,3,,1,1,,,,41,28,5,,2,,1,1,3,3,,2,1,,,,2,3,,,,,,,2,,,,,,,,12,3,,1,,,,,1,,,,,,,,3,2,,,,,,,,,,,,,,,61,31,5,4,3,,2,,6,1,1,,1,,,,4,,1,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,6,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2080,597,261,126,106,47,23,20,77,40,7,9,8,5,3,4,112,31,11,6,7,3,2,1,7,12,1,1,3,2,2,1,128,34,15,3,6,,2,1,9,3,1,2,1,1,,,14,5,,,2,1,,,5,3,1,,1,,1,,28,22,10,1,2,3,1,1,,,1,,,,,,1,3,,,,,,1,,2,,,,,,,16,4,,,,1,1,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,63,22,5,5,,3,2,1,2,,2,1,,,,,4,1,,,,,,,1,,,,,,,,7,2,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,5,4,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2091,601,235,101,75,49,21,24,82,34,9,8,8,10,3,6,128,33,8,4,3,4,2,1,8,4,3,2,3,2,,,151,37,10,1,6,5,3,,9,4,3,,1,2,,,11,6,1,,1,1,,,2,1,,2,2,,,2,62,20,7,4,,,,,4,2,1,,2,,,,1,2,1,1,,,,,,,,,,,1,,13,6,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,55,24,9,8,1,1,1,1,5,3,,,1,,,1,1,3,1,1,,,,,,,,,,,,,8,2,2,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
2073,606,237,79,89,61,18,21,79,13,9,8,11,7,5,4,119,34,20,9,7,2,2,1,5,8,1,1,1,4,1,1,156,32,16,5,6,2,4,,4,7,1,2,1,,,1,7,4,,3,,,1,,3,2,1,1,,,1,,45,19,4,4,2,2,,4,2,1,,,1,,,,3,,1,2,,,,,,1,,,,,,,17,8,1,1,,,,1,,,,,,,,,2,1,,1,1,,,1,1,1,,,,1,,,89,27,8,2,3,1,1,,2,2,,1,,,1,,6,3,,,,,,,,,,,,,,,6,3,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,6,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
2118,569,252,92,94,46,21,23,62,23,7,10,10,15,5,3,107,34,11,4,4,5,2,2,9,11,2,2,5,,2,2,161,37,17,6,11,1,,1,3,4,,,2,,,2,14,12,1,1,1,,,,1,3,1,1,1,1,,,50,24,2,3,3,1,4,,,,,,,,1,,,,1,2,,,,,,1,1,,,,,,12,1,1,2,,,,,1,,,1,,,,,1,,,,,,,1,1,1,,,,,,,61,29,7,5,5,1,1,2,2,2,1,1,,1,,,2,1,,,,,,,,,,,,,1,,3,1,,,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,1,7,1,,1,1,1,,,,,,,,,,3,1,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2111,559,234,105,105,46,24,25,81,31,9,9,13,5,5,5,107,30,17,9,4,2,,,10,6,2,2,5,,1,1,153,39,15,6,7,2,1,1,7,3,,,1,1,,,12,5,2,,1,,,,4,2,,2,1,,,,40,20,3,4,4,2,,1,3,1,1,,,,,,3,3,1,,,,,,2,1,,,,,,,11,7,2,2,,,,,,2,,,,,,,1,,,,,,,,1,2,,1,1,,,,61,30,8,5,4,2,1,1,4,2,2,1,,,,,5,,1,,,,,,,,,,,,,,3,3,1,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,2,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
2116,599,205,90,96,53,20,14,77,36,9,8,12,4,2,4,105,26,10,4,5,1,,1,13,11,2,,7,3,2,,157,37,15,7,7,7,2,2,8,3,1,1,1,,1,,16,5,,3,,2,1,,,2,,,,3,,,49,17,5,5,1,2,,,2,2,,,,,,,3,2,,1,,,,1,,2,1,,,,,,13,8,2,1,,,,,1,1,,,,,,,2,1,,,,,,,2,1,,,,,,,69,23,15,4,4,1,,,6,,,1,,,,,8,2,,,,,,,,,,,,,,,3,3,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
2094,644,242,88,80,37,15,27,67,34,17,6,10,6,4,4,123,31,8,7,5,4,1,4,8,6,,3,,4,1,1,157,32,15,9,1,3,,1,5,4,3,1,1,3,,1,11,4,2,2,,1,,1,4,,1,,2,,1,,47,19,6,1,,,,2,1,,,,,,,,4,1,,,1,,,1,,1,,,,,1,,19,6,,,,,,,,,,,1,,,,1,,1,,,,,,,1,1,,,,1,,57,24,11,3,4,3,1,,2,1,,,1,,,1,3,1,,,,1,,,,,,,,,,,6,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,1,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,
2047,575,282,105,92,34,14,18,81,32,15,11,21,3,7,2,124,31,12,4,5,2,2,3,10,1,1,3,1,3,3,1,147,43,19,8,4,3,3,3,7,3,,,1,,,,11,4,3,1,2,1,,,1,2,,,,,,,61,27,7,1,,2,,,5,2,,1,,,,,3,2,,,,,,,,1,,,,,,,19,3,2,2,1,,,,1,1,,,,,,1,3,1,,,,,,,,2,,,,,,,69,19,6,3,3,2,1,,5,3,,1,1,,,,,2,,,,,,,,,,,,,,,4,2,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,1,,,,,,,1,2,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2093,549,274,124,70,55,20,22,63,32,14,7,10,6,7,4,107,42,18,8,15,3,2,1,13,6,6,,6,2,,1,140,36,18,7,7,2,,,11,6,1,,1,,1,,10,2,,,,,,,4,2,,1,1,1,,1,49,17,8,4,1,,,,5,,,,,,,,1,2,,,,,,,,,,,1,,,,4,5,,,1,,,,,,,,,,,,1,2,1,,,,,,,,,,1,,,,64,27,12,5,2,2,2,,3,,,1,,,,,4,2,1,,,1,,,1,,1,,,,,,2,4,1,2,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,4,4,1,,,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
2189,557,236,78,80,42,12,27,62,29,4,7,13,6,4,4,120,36,10,6,8,4,2,1,9,8,3,2,2,2,1,,137,43,10,6,4,2,1,2,6,2,1,1,2,,1,2,12,7,,1,,,,1,3,1,1,2,1,1,1,,53,15,8,2,,1,,,1,,,,,,,,1,,,,1,,,,1,,,,,,,,6,5,3,1,2,,,,1,1,,,,,,,4,2,,,,,,,1,,,,,,,,69,22,13,6,4,1,,2,1,2,,1,,,,,4,1,1,,,,,,1,2,,,,,,,6,1,1,,,1,,,1,,,,,1,,,1,1,1,,,,,,,,,,,,,,7,4,,1,1,2,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,7,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,
