column,max,min,range,mean,standard deviation,variance
0000,157.0,98.0,59.0,126.6,11.219571644175543,125.8787878787879
0001,14.0,0.0,14.0,5.88,2.753436787255909,7.581414141414142
0010,67.0,34.0,33.0,50.55,6.956393759802139,48.39141414141413
0011,1.0,0.0,1.0,0.06,0.23868325657594203,0.05696969696969697
0100,54.0,21.0,33.0,37.32,6.435193639022618,41.411717171717164
0101,1.0,0.0,1.0,0.06,0.23868325657594203,0.05696969696969697
0110,3.0,0.0,3.0,0.41,0.668104510060841,0.44636363636363646
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,45.0,15.0,30.0,31.67,6.211841087549624,38.586969696969696
1001,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
1010,2.0,0.0,2.0,0.35,0.6415731927193979,0.4116161616161617
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,3.0,0.0,3.0,0.25,0.5,0.25
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
1111,0.0,0.0,0.0,0.0,0.0,0.0
