column,max,min,range,mean,standard deviation,variance
0000,71.0,33.0,38.0,50.98,7.35256431595141,54.06020202020202
0001,18.0,3.0,15.0,9.59,3.133704039966284,9.820101010101009
0010,0.0,0.0,0.0,0.0,0.0,0.0
0011,0.0,0.0,0.0,0.0,0.0,0.0
0100,52.0,21.0,31.0,37.22,5.904252875699179,34.860202020202024
0101,1.0,0.0,1.0,0.1,0.30151134457776363,0.09090909090909091
0110,0.0,0.0,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,12.0,0.0,12.0,4.03,2.171695795055704,4.716262626262627
1001,0.0,0.0,0.0,0.0,0.0,0.0
1010,0.0,0.0,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0
