column,max,min,range,mean,standard deviation,variance
0000,152.0,103.0,49.0,126.28,10.322164051548045,106.54707070707073
0001,68.0,35.0,33.0,51.84,7.473481738315101,55.85292929292931
0010,49.0,21.0,28.0,36.79,5.96165355680059,35.541313131313125
0011,3.0,0.0,3.0,0.44,0.6863753427324667,0.4711111111111111
0100,46.0,20.0,26.0,30.6,5.013114115129749,25.131313131313128
0101,3.0,0.0,3.0,0.32,0.5482755334738735,0.3006060606060606
0110,3.0,0.0,3.0,0.36,0.6279677016721755,0.3943434343434345
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,12.0,0.0,12.0,5.7,2.363442105459448,5.585858585858587
1001,2.0,0.0,2.0,0.11,0.34509550720186016,0.11909090909090912
1010,1.0,0.0,1.0,0.08,0.2726599243442907,0.07434343434343434
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0
