column,max,min,range,mean,standard deviation,variance
0000,68.0,30.0,38.0,48.63,7.409596562035022,54.902121212121216
0001,53.0,23.0,30.0,38.36,6.323788661103645,39.99030303030303
0010,0.0,0.0,0.0,0.0,0.0,0.0
0011,0.0,0.0,0.0,0.0,0.0,0.0
0100,10.0,0.0,10.0,4.15,2.109981090441382,4.452020202020202
0101,1.0,0.0,1.0,0.04,0.1969463855669324,0.038787878787878795
0110,0.0,0.0,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,13.0,1.0,12.0,6.02,2.3569368924838687,5.555151515151516
1001,1.0,0.0,1.0,0.06,0.238683256575942,0.056969696969696955
1010,0.0,0.0,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0
