column,max,min,range,mean,standard deviation,variance
00000000,151.0,102.0,49.0,124.3,10.570112238158718,111.72727272727269
00000001,6.0,0.0,6.0,1.94,1.4826947893561366,2.1983838383838386
00000010,49.0,18.0,31.0,33.09,5.696170962705003,32.44636363636364
00000011,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00000100,12.0,2.0,10.0,5.77,2.1874527411922515,4.784949494949496
00000101,0.0,0.0,0.0,0.0,0.0,0.0
00000110,1.0,0.0,1.0,0.06,0.23868325657594203,0.05696969696969697
00000111,0.0,0.0,0.0,0.0,0.0,0.0
00001000,32.0,11.0,21.0,19.03,4.073702309331219,16.595050505050505
00001001,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00001010,1.0,0.0,1.0,0.15,0.35887028128263676,0.1287878787878788
00001011,0.0,0.0,0.0,0.0,0.0,0.0
00001100,1.0,0.0,1.0,0.05,0.2190429135575903,0.047979797979797977
00001101,0.0,0.0,0.0,0.0,0.0,0.0
00001110,0.0,0.0,0.0,0.0,0.0,0.0
00001111,0.0,0.0,0.0,0.0,0.0,0.0
00010000,37.0,12.0,25.0,22.94,4.968222249782343,24.68323232323233
00010001,0.0,0.0,0.0,0.0,0.0,0.0
00010010,2.0,0.0,2.0,0.21,0.4333333333333334,0.18777777777777782
00010011,0.0,0.0,0.0,0.0,0.0,0.0
00010100,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
00010101,0.0,0.0,0.0,0.0,0.0,0.0
00010110,0.0,0.0,0.0,0.0,0.0,0.0
00010111,0.0,0.0,0.0,0.0,0.0,0.0
00011000,1.0,0.0,1.0,0.08,0.2726599243442907,0.07434343434343434
00011001,0.0,0.0,0.0,0.0,0.0,0.0
00011010,0.0,0.0,0.0,0.0,0.0,0.0
00011011,0.0,0.0,0.0,0.0,0.0,0.0
00011100,0.0,0.0,0.0,0.0,0.0,0.0
00011101,0.0,0.0,0.0,0.0,0.0,0.0
00011110,0.0,0.0,0.0,0.0,0.0,0.0
00011111,0.0,0.0,0.0,0.0,0.0,0.0
00100000,23.0,6.0,17.0,13.64,3.509064740573385,12.313535353535356
00100001,0.0,0.0,0.0,0.0,0.0,0.0
00100010,1.0,0.0,1.0,0.17,0.3775251680686369,0.14252525252525253
00100011,0.0,0.0,0.0,0.0,0.0,0.0
00100100,1.0,0.0,1.0,0.03,0.1714466079977653,0.029393939393939392
00100101,0.0,0.0,0.0,0.0,0.0,0.0
00100110,0.0,0.0,0.0,0.0,0.0,0.0
00100111,0.0,0.0,0.0,0.0,0.0,0.0
00101000,2.0,0.0,2.0,0.1,0.3333333333333333,0.1111111111111111
00101001,0.0,0.0,0.0,0.0,0.0,0.0
00101010,0.0,0.0,0.0,0.0,0.0,0.0
00101011,0.0,0.0,0.0,0.0,0.0,0.0
00101100,0.0,0.0,0.0,0.0,0.0,0.0
00101101,0.0,0.0,0.0,0.0,0.0,0.0
00101110,0.0,0.0,0.0,0.0,0.0,0.0
00101111,0.0,0.0,0.0,0.0,0.0,0.0
00110000,1.0,0.0,1.0,0.07,0.2564323999762428,0.06575757575757575
00110001,0.0,0.0,0.0,0.0,0.0,0.0
00110010,0.0,0.0,0.0,0.0,0.0,0.0
00110011,0.0,0.0,0.0,0.0,0.0,0.0
00110100,0.0,0.0,0.0,0.0,0.0,0.0
00110101,0.0,0.0,0.0,0.0,0.0,0.0
00110110,0.0,0.0,0.0,0.0,0.0,0.0
00110111,0.0,0.0,0.0,0.0,0.0,0.0
00111000,0.0,0.0,0.0,0.0,0.0,0.0
00111001,0.0,0.0,0.0,0.0,0.0,0.0
00111010,0.0,0.0,0.0,0.0,0.0,0.0
00111011,0.0,0.0,0.0,0.0,0.0,0.0
00111100,0.0,0.0,0.0,0.0,0.0,0.0
00111101,0.0,0.0,0.0,0.0,0.0,0.0
00111110,0.0,0.0,0.0,0.0,0.0,0.0
00111111,0.0,0.0,0.0,0.0,0.0,0.0
01000000,17.0,4.0,13.0,9.98,2.9677730316984765,8.807676767676767
01000001,0.0,0.0,0.0,0.0,0.0,0.0
01000010,1.0,0.0,1.0,0.08,0.2726599243442907,0.07434343434343434
01000011,0.0,0.0,0.0,0.0,0.0,0.0
01000100,1.0,0.0,1.0,0.02,0.14070529413628968,0.019797979797979794
01000101,0.0,0.0,0.0,0.0,0.0,0.0
01000110,0.0,0.0,0.0,0.0,0.0,0.0
01000111,0.0,0.0,0.0,0.0,0.0,0.0
01001000,1.0,0.0,1.0,0.02,0.14070529413628965,0.01979797979797979
01001001,0.0,0.0,0.0,0.0,0.0,0.0
01001010,0.0,0.0,0.0,0.0,0.0,0.0
01001011,0.0,0.0,0.0,0.0,0.0,0.0
01001100,0.0,0.0,0.0,0.0,0.0,0.0
01001101,0.0,0.0,0.0,0.0,0.0,0.0
01001110,0.0,0.0,0.0,0.0,0.0,0.0
01001111,0.0,0.0,0.0,0.0,0.0,0.0
