column,max,min,range,mean,standard deviation,variance
00000000,304.0,231.0,73.0,263.59,13.873231983087635,192.46656565656568
00000001,63.0,32.0,31.0,47.01,6.786044800942891,46.05040404040405
00000010,33.0,10.0,23.0,20.18,4.477508325852763,20.048080808080808
00000011,2.0,0.0,2.0,0.12,0.35618630921006333,0.12686868686868685
00000100,139.0,82.0,57.0,111.0,10.530379332620877,110.88888888888889
00000101,6.0,0.0,6.0,1.33,1.1725393318982886,1.374848484848485
00000110,4.0,0.0,4.0,0.48,0.7847022210734311,0.615757575757576
00000111,0.0,0.0,0.0,0.0,0.0,0.0
00001000,30.0,10.0,20.0,19.16,4.574236150838342,20.923636363636366
00001001,3.0,0.0,3.0,0.34,0.5545040554177647,0.30747474747474746
00001010,2.0,0.0,2.0,0.07,0.2931886695621029,0.08595959595959594
00001011,0.0,0.0,0.0,0.0,0.0,0.0
00001100,2.0,0.0,2.0,0.58,0.654124443725189,0.42787878787878786
00001101,0.0,0.0,0.0,0.0,0.0,0.0
00001110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00001111,0.0,0.0,0.0,0.0,0.0,0.0
00010000,53.0,22.0,31.0,37.88,6.179601503938158,38.187474747474745
00010001,2.0,0.0,2.0,0.33,0.5135536717202728,0.2637373737373737
00010010,1.0,0.0,1.0,0.21,0.40936018074033237,0.1675757575757576
00010011,0.0,0.0,0.0,0.0,0.0,0.0
00010100,5.0,0.0,5.0,1.11,1.1449934938723894,1.3110101010101012
00010101,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00010110,0.0,0.0,0.0,0.0,0.0,0.0
00010111,0.0,0.0,0.0,0.0,0.0,0.0
00011000,1.0,0.0,1.0,0.11,0.31446603773522014,0.0988888888888889
00011001,0.0,0.0,0.0,0.0,0.0,0.0
00011010,0.0,0.0,0.0,0.0,0.0,0.0
00011011,0.0,0.0,0.0,0.0,0.0,0.0
00011100,0.0,0.0,0.0,0.0,0.0,0.0
00011101,0.0,0.0,0.0,0.0,0.0,0.0
00011110,0.0,0.0,0.0,0.0,0.0,0.0
00011111,0.0,0.0,0.0,0.0,0.0,0.0
00100000,14.0,2.0,12.0,7.42,2.441973039006025,5.963232323232322
00100001,1.0,0.0,1.0,0.15,0.3588702812826367,0.12878787878787878
00100010,1.0,0.0,1.0,0.02,0.14070529413628965,0.019797979797979787
00100011,0.0,0.0,0.0,0.0,0.0,0.0
00100100,1.0,0.0,1.0,0.17,0.3775251680686369,0.14252525252525253
00100101,0.0,0.0,0.0,0.0,0.0,0.0
00100110,0.0,0.0,0.0,0.0,0.0,0.0
00100111,0.0,0.0,0.0,0.0,0.0,0.0
00101000,1.0,0.0,1.0,0.04,0.1969463855669324,0.038787878787878795
00101001,0.0,0.0,0.0,0.0,0.0,0.0
00101010,0.0,0.0,0.0,0.0,0.0,0.0
00101011,0.0,0.0,0.0,0.0,0.0,0.0
00101100,0.0,0.0,0.0,0.0,0.0,0.0
00101101,0.0,0.0,0.0,0.0,0.0,0.0
00101110,0.0,0.0,0.0,0.0,0.0,0.0
00101111,0.0,0.0,0.0,0.0,0.0,0.0
00110000,1.0,0.0,1.0,0.09,0.2876234912646614,0.08272727272727276
00110001,0.0,0.0,0.0,0.0,0.0,0.0
00110010,0.0,0.0,0.0,0.0,0.0,0.0
00110011,0.0,0.0,0.0,0.0,0.0,0.0
00110100,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00110101,0.0,0.0,0.0,0.0,0.0,0.0
00110110,0.0,0.0,0.0,0.0,0.0,0.0
00110111,0.0,0.0,0.0,0.0,0.0,0.0
00111000,0.0,0.0,0.0,0.0,0.0,0.0
00111001,0.0,0.0,0.0,0.0,0.0,0.0
00111010,0.0,0.0,0.0,0.0,0.0,0.0
00111011,0.0,0.0,0.0,0.0,0.0,0.0
00111100,0.0,0.0,0.0,0.0,0.0,0.0
00111101,0.0,0.0,0.0,0.0,0.0,0.0
00111110,0.0,0.0,0.0,0.0,0.0,0.0
00111111,0.0,0.0,0.0,0.0,0.0,0.0
01000000,16.0,3.0,13.0,8.98,3.041729970283558,9.252121212121214
01000001,1.0,0.0,1.0,0.07,0.2564323999762428,0.06575757575757575
01000010,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787878
01000011,0.0,0.0,0.0,0.0,0.0,0.0
01000100,2.0,0.0,2.0,0.27,0.48938221207451904,0.2394949494949495
01000101,0.0,0.0,0.0,0.0,0.0,0.0
01000110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
01000111,0.0,0.0,0.0,0.0,0.0,0.0
01001000,1.0,0.0,1.0,0.02,0.14070529413628968,0.019797979797979797
01001001,0.0,0.0,0.0,0.0,0.0,0.0
01001010,0.0,0.0,0.0,0.0,0.0,0.0
01001011,0.0,0.0,0.0,0.0,0.0,0.0
01001100,0.0,0.0,0.0,0.0,0.0,0.0
01001101,0.0,0.0,0.0,0.0,0.0,0.0
01001110,0.0,0.0,0.0,0.0,0.0,0.0
01001111,0.0,0.0,0.0,0.0,0.0,0.0
01010000,1.0,0.0,1.0,0.07,0.2564323999762428,0.06575757575757575
01010001,0.0,0.0,0.0,0.0,0.0,0.0
01010010,0.0,0.0,0.0,0.0,0.0,0.0
01010011,0.0,0.0,0.0,0.0,0.0,0.0
01010100,0.0,0.0,0.0,0.0,0.0,0.0
01010101,0.0,0.0,0.0,0.0,0.0,0.0
01010110,0.0,0.0,0.0,0.0,0.0,0.0
01010111,0.0,0.0,0.0,0.0,0.0,0.0
01011000,0.0,0.0,0.0,0.0,0.0,0.0
01011001,0.0,0.0,0.0,0.0,0.0,0.0
01011010,0.0,0.0,0.0,0.0,0.0,0.0
01011011,0.0,0.0,0.0,0.0,0.0,0.0
01011100,0.0,0.0,0.0,0.0,0.0,0.0
01011101,0.0,0.0,0.0,0.0,0.0,0.0
01011110,0.0,0.0,0.0,0.0,0.0,0.0
01011111,0.0,0.0,0.0,0.0,0.0,0.0
01100000,0.0,0.0,0.0,0.0,0.0,0.0
01100001,0.0,0.0,0.0,0.0,0.0,0.0
01100010,0.0,0.0,0.0,0.0,0.0,0.0
01100011,0.0,0.0,0.0,0.0,0.0,0.0
01100100,1.0,0.0,1.0,0.01,0.1,0.01
01100101,0.0,0.0,0.0,0.0,0.0,0.0
01100110,0.0,0.0,0.0,0.0,0.0,0.0
01100111,0.0,0.0,0.0,0.0,0.0,0.0
01101000,0.0,0.0,0.0,0.0,0.0,0.0
01101001,0.0,0.0,0.0,0.0,0.0,0.0
01101010,0.0,0.0,0.0,0.0,0.0,0.0
01101011,0.0,0.0,0.0,0.0,0.0,0.0
01101100,0.0,0.0,0.0,0.0,0.0,0.0
01101101,0.0,0.0,0.0,0.0,0.0,0.0
01101110,0.0,0.0,0.0,0.0,0.0,0.0
01101111,0.0,0.0,0.0,0.0,0.0,0.0
01110000,0.0,0.0,0.0,0.0,0.0,0.0
01110001,0.0,0.0,0.0,0.0,0.0,0.0
01110010,0.0,0.0,0.0,0.0,0.0,0.0
01110011,0.0,0.0,0.0,0.0,0.0,0.0
01110100,0.0,0.0,0.0,0.0,0.0,0.0
01110101,0.0,0.0,0.0,0.0,0.0,0.0
01110110,0.0,0.0,0.0,0.0,0.0,0.0
01110111,0.0,0.0,0.0,0.0,0.0,0.0
01111000,0.0,0.0,0.0,0.0,0.0,0.0
01111001,0.0,0.0,0.0,0.0,0.0,0.0
01111010,0.0,0.0,0.0,0.0,0.0,0.0
01111011,0.0,0.0,0.0,0.0,0.0,0.0
01111100,0.0,0.0,0.0,0.0,0.0,0.0
01111101,0.0,0.0,0.0,0.0,0.0,0.0
01111110,0.0,0.0,0.0,0.0,0.0,0.0
01111111,0.0,0.0,0.0,0.0,0.0,0.0
10000000,12.0,1.0,11.0,5.84,2.440069546947257,5.953939393939393
10000001,1.0,0.0,1.0,0.1,0.30151134457776363,0.09090909090909091
10000010,2.0,0.0,2.0,0.06,0.27779797906341425,0.07717171717171716
10000011,0.0,0.0,0.0,0.0,0.0,0.0
10000100,3.0,0.0,3.0,0.14,0.4268749491621899,0.1822222222222222
10000101,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
10000110,0.0,0.0,0.0,0.0,0.0,0.0
10000111,0.0,0.0,0.0,0.0,0.0,0.0
10001000,1.0,0.0,1.0,0.03,0.1714466079977653,0.0293939393939394
10001001,0.0,0.0,0.0,0.0,0.0,0.0
10001010,0.0,0.0,0.0,0.0,0.0,0.0
10001011,0.0,0.0,0.0,0.0,0.0,0.0
10001100,0.0,0.0,0.0,0.0,0.0,0.0
10001101,0.0,0.0,0.0,0.0,0.0,0.0
10001110,0.0,0.0,0.0,0.0,0.0,0.0
10001111,0.0,0.0,0.0,0.0,0.0,0.0
10010000,2.0,0.0,2.0,0.06,0.2777979790634143,0.07717171717171717
10010001,0.0,0.0,0.0,0.0,0.0,0.0
10010010,0.0,0.0,0.0,0.0,0.0,0.0
10010011,0.0,0.0,0.0,0.0,0.0,0.0
10010100,0.0,0.0,0.0,0.0,0.0,0.0
10010101,0.0,0.0,0.0,0.0,0.0,0.0
10010110,0.0,0.0,0.0,0.0,0.0,0.0
10010111,0.0,0.0,0.0,0.0,0.0,0.0
10011000,0.0,0.0,0.0,0.0,0.0,0.0
10011001,0.0,0.0,0.0,0.0,0.0,0.0
10011010,0.0,0.0,0.0,0.0,0.0,0.0
10011011,0.0,0.0,0.0,0.0,0.0,0.0
10011100,0.0,0.0,0.0,0.0,0.0,0.0
10011101,0.0,0.0,0.0,0.0,0.0,0.0
10011110,0.0,0.0,0.0,0.0,0.0,0.0
10011111,0.0,0.0,0.0,0.0,0.0,0.0
10100000,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
10100001,0.0,0.0,0.0,0.0,0.0,0.0
10100010,0.0,0.0,0.0,0.0,0.0,0.0
10100011,0.0,0.0,0.0,0.0,0.0,0.0
10100100,0.0,0.0,0.0,0.0,0.0,0.0
10100101,0.0,0.0,0.0,0.0,0.0,0.0
10100110,0.0,0.0,0.0,0.0,0.0,0.0
10100111,0.0,0.0,0.0,0.0,0.0,0.0
10101000,0.0,0.0,0.0,0.0,0.0,0.0
10101001,0.0,0.0,0.0,0.0,0.0,0.0
10101010,0.0,0.0,0.0,0.0,0.0,0.0
10101011,0.0,0.0,0.0,0.0,0.0,0.0
10101100,0.0,0.0,0.0,0.0,0.0,0.0
10101101,0.0,0.0,0.0,0.0,0.0,0.0
10101110,0.0,0.0,0.0,0.0,0.0,0.0
10101111,0.0,0.0,0.0,0.0,0.0,0.0
10110000,0.0,0.0,0.0,0.0,0.0,0.0
10110001,0.0,0.0,0.0,0.0,0.0,0.0
10110010,0.0,0.0,0.0,0.0,0.0,0.0
10110011,0.0,0.0,0.0,0.0,0.0,0.0
10110100,0.0,0.0,0.0,0.0,0.0,0.0
10110101,0.0,0.0,0.0,0.0,0.0,0.0
10110110,0.0,0.0,0.0,0.0,0.0,0.0
10110111,0.0,0.0,0.0,0.0,0.0,0.0
10111000,0.0,0.0,0.0,0.0,0.0,0.0
10111001,0.0,0.0,0.0,0.0,0.0,0.0
10111010,0.0,0.0,0.0,0.0,0.0,0.0
10111011,0.0,0.0,0.0,0.0,0.0,0.0
10111100,0.0,0.0,0.0,0.0,0.0,0.0
10111101,0.0,0.0,0.0,0.0,0.0,0.0
10111110,0.0,0.0,0.0,0.0,0.0,0.0
10111111,0.0,0.0,0.0,0.0,0.0,0.0
