column,max,min,range,mean,standard deviation,variance
0000,13.0,0.0,13.0,6.49,2.371953122673721,5.626161616161617
0001,0.0,0.0,0.0,0.0,0.0,0.0
0010,10.0,0.0,10.0,4.36,2.067155367438866,4.273131313131313
0011,0.0,0.0,0.0,0.0,0.0,0.0
0100,0.0,0.0,0.0,0.0,0.0,0.0
0101,0.0,0.0,0.0,0.0,0.0,0.0
0110,0.0,0.0,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,6.0,0.0,6.0,2.12,1.40906158327255,1.9854545454545451
1001,0.0,0.0,0.0,0.0,0.0,0.0
1010,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0
