column,max,min,range,mean,standard deviation,variance
0000,51.0,20.0,31.0,33.21,6.2008389787515075,38.45040404040404
0001,14.0,3.0,11.0,8.04,2.8423919362381955,8.079191919191917
0010,22.0,5.0,17.0,13.54,3.922017621355394,15.382222222222223
0011,1.0,0.0,1.0,0.05,0.21904291355759029,0.04797979797979797
0100,11.0,1.0,10.0,5.68,2.339299731185218,5.472323232323234
0101,1.0,0.0,1.0,0.01,0.1,0.01
0110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,13.0,1.0,12.0,5.84,2.290604437014101,5.2468686868686865
1001,0.0,0.0,0.0,0.0,0.0,0.0
1010,1.0,0.0,1.0,0.03,0.1714466079977653,0.0293939393939394
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0
