column,max,min,range,mean,standard deviation,variance
0000,22.0,2.0,20.0,8.35,3.150677336187836,9.926767676767678
0001,6.0,0.0,6.0,2.03,1.4664944802507989,2.150606060606061
0010,11.0,0.0,11.0,4.22,2.2899869877447783,5.244040404040404
0011,0.0,0.0,0.0,0.0,0.0,0.0
0100,7.0,0.0,7.0,2.1,1.2831463854387959,1.6464646464646469
0101,0.0,0.0,0.0,0.0,0.0,0.0
0110,0.0,0.0,0.0,0.0,0.0,0.0
0111,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.0,0.0,0.0,0.0,0.0,0.0
1001,0.0,0.0,0.0,0.0,0.0,0.0
1010,0.0,0.0,0.0,0.0,0.0,0.0
1011,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.0,0.0,0.0,0.0,0.0,0.0
1101,0.0,0.0,0.0,0.0,0.0,0.0
1110,0.0,0.0,0.0,0.0,0.0,0.0
1111,0.0,0.0,0.0,0.0,0.0,0.0
