column,max,min,range,mean,standard deviation,variance
00000000,578.0,477.0,101.0,531.27,20.546008976160916,422.1384848484849
00000001,140.0,94.0,46.0,112.56,10.405243433437342,108.26909090909092
00000010,87.0,49.0,38.0,68.18,8.844766757235545,78.229898989899
00000011,45.0,16.0,29.0,28.37,5.2678844008393035,27.75060606060607
00000100,89.0,53.0,36.0,70.65,7.208825959694943,51.967171717171716
00000101,6.0,0.0,6.0,2.57,1.5390867028169268,2.368787878787879
00000110,6.0,0.0,6.0,2.14,1.5177069359511879,2.303434343434343
00000111,42.0,15.0,27.0,29.81,5.522579912404065,30.49888888888889
00001000,58.0,25.0,33.0,41.4,6.616477747093069,43.77777777777778
00001001,4.0,0.0,4.0,1.1,1.0396191999035422,1.080808080808081
00001010,3.0,0.0,3.0,0.68,0.7369058983549412,0.543030303030303
00001011,3.0,0.0,3.0,0.58,0.7410066862659938,0.549090909090909
00001100,3.0,0.0,3.0,0.87,0.8487066809581684,0.7203030303030302
00001101,2.0,0.0,2.0,0.22,0.43992653197477594,0.19353535353535356
00001110,3.0,0.0,3.0,0.41,0.6371495868001454,0.4059595959595961
00001111,21.0,8.0,13.0,13.86,3.3242907650969835,11.050909090909089
00010000,64.0,29.0,35.0,46.6,7.338840907022434,53.85858585858587
00010001,5.0,0.0,5.0,1.69,1.27679364824627,1.63020202020202
00010010,3.0,0.0,3.0,0.87,0.89504810547317,0.801111111111111
00010011,2.0,0.0,2.0,0.41,0.5702205846437983,0.3251515151515152
00010100,4.0,0.0,4.0,0.99,1.0298082590973188,1.0605050505050504
00010101,1.0,0.0,1.0,0.05,0.2190429135575903,0.047979797979797977
00010110,1.0,0.0,1.0,0.05,0.21904291355759034,0.04797979797979799
00010111,3.0,0.0,3.0,0.31,0.5807518637703432,0.3372727272727272
00011000,4.0,0.0,4.0,0.56,0.8326663997864531,0.6933333333333332
00011001,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00011010,1.0,0.0,1.0,0.02,0.14070529413628968,0.019797979797979794
00011011,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00011100,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00011101,0.0,0.0,0.0,0.0,0.0,0.0
00011110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00011111,2.0,0.0,2.0,0.15,0.38599209705627263,0.14898989898989898
00100000,34.0,14.0,20.0,23.2,4.311131937885755,18.585858585858585
00100001,3.0,0.0,3.0,0.62,0.7756391955130695,0.6016161616161616
00100010,3.0,0.0,3.0,0.6,0.7106690545187014,0.505050505050505
00100011,2.0,0.0,2.0,0.15,0.38599209705627263,0.14898989898989898
00100100,3.0,0.0,3.0,0.45,0.6571287406727709,0.4318181818181819
00100101,1.0,0.0,1.0,0.02,0.14070529413628965,0.01979797979797979
00100110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
