column,max,min,range,mean,standard deviation,variance
00000000,279.0,205.0,74.0,240.79,14.1658965922608,200.67262626262618
00000001,35.0,11.0,24.0,24.23,5.227848892269558,27.330404040404037
00000010,92.0,49.0,43.0,72.4,8.194602806208191,67.15151515151516
00000011,2.0,0.0,2.0,0.43,0.6236905474591538,0.3889898989898989
00000100,54.0,23.0,31.0,37.32,6.177312677790555,38.15919191919192
00000101,3.0,0.0,3.0,0.33,0.6204429828352441,0.38494949494949504
00000110,4.0,0.0,4.0,0.6,0.8287754140107481,0.6868686868686869
00000111,1.0,0.0,1.0,0.03,0.1714466079977653,0.0293939393939394
00001000,44.0,13.0,31.0,29.43,5.874538451674481,34.510202020202016
00001001,2.0,0.0,2.0,0.12,0.35618630921006333,0.12686868686868685
00001010,3.0,0.0,3.0,0.45,0.6723244767373877,0.45202020202020216
00001011,0.0,0.0,0.0,0.0,0.0,0.0
00001100,3.0,0.0,3.0,0.33,0.5514901759246615,0.3041414141414141
00001101,0.0,0.0,0.0,0.0,0.0,0.0
00001110,0.0,0.0,0.0,0.0,0.0,0.0
00001111,0.0,0.0,0.0,0.0,0.0,0.0
00010000,58.0,28.0,30.0,40.89,5.6316117146914975,31.715050505050506
00010001,2.0,0.0,2.0,0.21,0.4333333333333334,0.18777777777777782
00010010,3.0,0.0,3.0,0.58,0.7677857445244405,0.5894949494949494
00010011,0.0,0.0,0.0,0.0,0.0,0.0
00010100,3.0,0.0,3.0,0.39,0.680092091209163,0.46252525252525245
00010101,0.0,0.0,0.0,0.0,0.0,0.0
00010110,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00010111,0.0,0.0,0.0,0.0,0.0,0.0
00011000,2.0,0.0,2.0,0.26,0.5245488682206026,0.27515151515151515
00011001,0.0,0.0,0.0,0.0,0.0,0.0
00011010,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00011011,0.0,0.0,0.0,0.0,0.0,0.0
00011100,0.0,0.0,0.0,0.0,0.0,0.0
00011101,0.0,0.0,0.0,0.0,0.0,0.0
00011110,0.0,0.0,0.0,0.0,0.0,0.0
00011111,0.0,0.0,0.0,0.0,0.0,0.0
00100000,18.0,6.0,12.0,12.05,2.742759062099198,7.522727272727274
00100001,1.0,0.0,1.0,0.08,0.27265992434429076,0.07434343434343435
00100010,2.0,0.0,2.0,0.17,0.42770234150550657,0.18292929292929297
00100011,1.0,0.0,1.0,0.02,0.14070529413628968,0.019797979797979794
00100100,1.0,0.0,1.0,0.13,0.33799766898963113,0.11424242424242424
00100101,0.0,0.0,0.0,0.0,0.0,0.0
00100110,0.0,0.0,0.0,0.0,0.0,0.0
00100111,0.0,0.0,0.0,0.0,0.0,0.0
00101000,1.0,0.0,1.0,0.1,0.30151134457776363,0.09090909090909091
00101001,0.0,0.0,0.0,0.0,0.0,0.0
00101010,0.0,0.0,0.0,0.0,0.0,0.0
00101011,0.0,0.0,0.0,0.0,0.0,0.0
00101100,0.0,0.0,0.0,0.0,0.0,0.0
00101101,0.0,0.0,0.0,0.0,0.0,0.0
00101110,0.0,0.0,0.0,0.0,0.0,0.0
00101111,0.0,0.0,0.0,0.0,0.0,0.0
00110000,1.0,0.0,1.0,0.08,0.27265992434429076,0.07434343434343435
00110001,0.0,0.0,0.0,0.0,0.0,0.0
00110010,0.0,0.0,0.0,0.0,0.0,0.0
00110011,0.0,0.0,0.0,0.0,0.0,0.0
00110100,0.0,0.0,0.0,0.0,0.0,0.0
00110101,0.0,0.0,0.0,0.0,0.0,0.0
00110110,0.0,0.0,0.0,0.0,0.0,0.0
00110111,0.0,0.0,0.0,0.0,0.0,0.0
00111000,0.0,0.0,0.0,0.0,0.0,0.0
00111001,0.0,0.0,0.0,0.0,0.0,0.0
00111010,0.0,0.0,0.0,0.0,0.0,0.0
00111011,0.0,0.0,0.0,0.0,0.0,0.0
00111100,0.0,0.0,0.0,0.0,0.0,0.0
00111101,0.0,0.0,0.0,0.0,0.0,0.0
00111110,0.0,0.0,0.0,0.0,0.0,0.0
00111111,0.0,0.0,0.0,0.0,0.0,0.0
01000000,17.0,4.0,13.0,9.59,2.8888325557833108,8.345353535353535
01000001,1.0,0.0,1.0,0.06,0.238683256575942,0.056969696969696955
01000010,1.0,0.0,1.0,0.22,0.41633319989322654,0.17333333333333334
01000011,0.0,0.0,0.0,0.0,0.0,0.0
01000100,1.0,0.0,1.0,0.11,0.31446603773522014,0.0988888888888889
01000101,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
01000110,0.0,0.0,0.0,0.0,0.0,0.0
01000111,0.0,0.0,0.0,0.0,0.0,0.0
01001000,2.0,0.0,2.0,0.1,0.3333333333333333,0.11111111111111109
01001001,0.0,0.0,0.0,0.0,0.0,0.0
01001010,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
01001011,0.0,0.0,0.0,0.0,0.0,0.0
01001100,0.0,0.0,0.0,0.0,0.0,0.0
01001101,0.0,0.0,0.0,0.0,0.0,0.0
01001110,0.0,0.0,0.0,0.0,0.0,0.0
