column,max,min,range,mean,standard deviation,variance
00000000,536.0,445.0,91.0,495.28,20.29185038184522,411.75919191919195
00000001,87.0,43.0,44.0,58.89,8.052723988586944,64.84636363636363
00000010,278.0,208.0,70.0,244.42,15.305099170082519,234.2460606060606
00000011,15.0,0.0,15.0,4.14,2.4864074931962024,6.182222222222222
00000100,37.0,12.0,25.0,24.07,5.168386810429558,26.71222222222222
00000101,2.0,0.0,2.0,0.3,0.5595813731096784,0.3131313131313131
00000110,5.0,0.0,5.0,1.72,1.255935403344351,1.577373737373738
00000111,1.0,0.0,1.0,0.04,0.19694638556693236,0.03878787878787879
00001000,85.0,49.0,36.0,66.06,7.950376396654742,63.20848484848485
00001001,4.0,0.0,4.0,1.17,1.1464041278024186,1.314242424242424
00001010,11.0,1.0,10.0,4.66,2.1659439354039454,4.691313131313131
00001011,1.0,0.0,1.0,0.04,0.1969463855669324,0.038787878787878795
00001100,4.0,0.0,4.0,0.54,0.8216760402686178,0.6751515151515153
00001101,1.0,0.0,1.0,0.01,0.1,0.01
00001110,1.0,0.0,1.0,0.05,0.2190429135575903,0.047979797979797977
00001111,0.0,0.0,0.0,0.0,0.0,0.0
00010000,49.0,18.0,31.0,33.2,5.5650424050223535,30.969696969696976
00010001,4.0,0.0,4.0,0.57,0.819645156038991,0.6718181818181819
00010010,6.0,0.0,6.0,2.1,1.3889898953170716,1.9292929292929293
00010011,1.0,0.0,1.0,0.02,0.14070529413628968,0.019797979797979797
00010100,2.0,0.0,2.0,0.2,0.4714045207910317,0.2222222222222222
00010101,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00010110,1.0,0.0,1.0,0.02,0.14070529413628965,0.01979797979797979
00010111,0.0,0.0,0.0,0.0,0.0,0.0
00011000,3.0,0.0,3.0,0.61,0.7506899183653352,0.5635353535353536
00011001,0.0,0.0,0.0,0.0,0.0,0.0
00011010,2.0,0.0,2.0,0.12,0.3561863092100634,0.12686868686868688
00011011,0.0,0.0,0.0,0.0,0.0,0.0
00011100,1.0,0.0,1.0,0.01,0.09999999999999999,0.009999999999999998
00011101,0.0,0.0,0.0,0.0,0.0,0.0
00011110,0.0,0.0,0.0,0.0,0.0,0.0
00011111,0.0,0.0,0.0,0.0,0.0,0.0
00100000,40.0,13.0,27.0,26.57,4.899505231668961,24.005151515151518
00100001,2.0,0.0,2.0,0.37,0.6138963160572694,0.37686868686868674
00100010,5.0,0.0,5.0,1.65,1.3880805728658825,1.9267676767676767
00100011,1.0,0.0,1.0,0.02,0.14070529413628968,0.019797979797979794
