nr_qubits,backend,circuit,depth,size,width,rz,ecr,barrier,x,measure,sx,cz
16,fake_brisbane,1,566,1345,143,789,117,1,30,16,393,
16,fake_brisbane,2,481,1294,143,738,114,1,60,16,366,
16,fake_brisbane,3,649,1618,143,906,162,1,,16,534,
16,fake_torino,1,193,502,149,184,,1,,16,212,90
16,fake_torino,2,229,577,149,184,,1,30,16,242,105
16,fake_torino,3,244,598,149,64,,1,,16,356,162
16,fake_fez,1,133,322,172,184,,1,,16,92,30
16,fake_fez,2,133,352,172,184,,1,30,16,92,30
16,fake_fez,3,187,382,172,64,,1,,16,212,90
16,fake_marrakesh,1,133,322,172,184,,1,,16,92,30
16,fake_marrakesh,2,133,352,172,184,,1,30,16,92,30
16,fake_marrakesh,3,187,382,172,64,,1,,16,212,90
